year,code,amount,name,topname,depname,category,depcat,cat,ref
2015,2.1.4.3-32020010503,702000,政風預防,縣政府主管,嘉義縣政府,政風業務,嘉義縣政府,縣政府主管,2.1.4.3
2015,2.1.5.1-32020010601,27869000,計畫行政,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.1
2015,2.1.5.2-32020010602,895000,研究發展,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.2
2015,2.1.5.3-32020010603,2024000,管制考核,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.3
2015,2.1.5.4-32020010604,1600000,綜合規劃,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.4
2015,2.1.5.5-32020010605,944000,縣政建設參觀,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.5
2015,2.1.5.6-32020010607,16431000,電腦資訊,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.6
2015,2.1.5.7-32020010608,1399000,聯合服務,縣政府主管,嘉義縣政府,施政計畫綜合業,嘉義縣政府,縣政府主管,2.1.5.7
2015,2.1.6.1-32020017901,7803000,第一預備金,縣政府主管,嘉義縣政府,第一預備金,嘉義縣政府,縣政府主管,2.1.6.1
2015,2.1.7.1-32020019002,63350000,城鄉新風貌建,縣政府主管,嘉義縣政府,一般建築及設備,嘉義縣政府,縣政府主管,2.1.7.1
2015,2.1.7.2-32020019019,18150000,其他設備,縣政府主管,嘉義縣政府,一般建築及設備,嘉義縣政府,縣政府主管,2.1.7.2
2015,2.1.8.1-33020010701,41723000,鄉鎮自治行政,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.1
2015,2.1.8.2-33020010702,815000,健全村里基層,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.2
2015,2.1.8.3-33020010704,1531000,推行禮俗文物,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.3
2015,2.1.8.4-33020010707,123000,公共造產,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.4
2015,2.1.8.5-33020010708,1102000,調解行政,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.5
2015,2.1.8.6-33020010712,7788000,戶政業務,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.6
2015,2.1.8.7-33020010718,165000,山地行政管理,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.7
2015,2.1.8.8-33020010719,28930000,加強原住民生,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.8
2015,2.1.8.9-33020010724,502000,地方公職人員,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.9
2015,2.1.8.10-33020010725,0,地方公職人員,縣政府主管,嘉義縣政府,民政業務,嘉義縣政府,縣政府主管,2.1.8.10
2015,2.1.9.1-33020010805,23468000,兵役行政,縣政府主管,嘉義縣政府,役政業務,嘉義縣政府,縣政府主管,2.1.9.1
2015,2.1.10.1-33020010901,44538000,地籍管理,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.1
2015,2.1.10.2-33020010902,912000,地價調查評議,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.2
2015,2.1.10.3-33020010903,119000,召開租佃委員,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.3
2015,2.1.10.4-33020010904,1671000,公地放租放領,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.4
2015,2.1.10.5-33020010905,3088000,農市地重劃管,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.5
2015,2.1.10.6-33020010906,3632000,土地及建物登,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.6
2015,2.1.10.7-33020010907,6513000,公設保留地分,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.7
2015,2.1.10.8-33020010909,9331000,縣辦地籍圖重,縣政府主管,嘉義縣政府,地政業務,嘉義縣政府,縣政府主管,2.1.10.8
2015,2.1.11.1-33020019019,6879000,其他設備,縣政府主管,嘉義縣政府,一般建築及設備,嘉義縣政府,縣政府主管,2.1.11.1
2015,2.1.11.2-33020019020,1852000,民政設備,縣政府主管,嘉義縣政府,一般建築及設備,嘉義縣政府,縣政府主管,2.1.11.2
2015,2.1.12.1-51020015001,589095000,教育行政,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.1
2015,2.1.12.2-51020015002,5461830000,教育管理與輔,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.2
2015,2.1.12.3-51020015003,186059000,體育保健,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.3
2015,2.1.12.4-51020015004,227604000,特殊教育,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.4
2015,2.1.12.5-51020015005,26032000,社教活動,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.5
2015,2.1.12.6-51020015008,230000000,教育人員增班,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.6
2015,2.1.12.7-51020015010,12749000,家庭教育,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.7
2015,2.1.12.8-51020015011,33921000,運動產業,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.8
2015,2.1.12.9-51020015031,182948000,教育業務建築,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.9
2015,2.1.12.10-51020015032,41990000,學管業務建築,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.10
2015,2.1.12.11-51020015033,48104000,體健業務建築,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.11
2015,2.1.12.12-51020015034,19927000,特教業務建築,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.12
2015,2.1.12.13-51020015035,1470000,社教業務建築,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.13
2015,2.1.12.14-51020015036,11900000,運產業務建築,縣政府主管,嘉義縣政府,教育發展業務,嘉義縣政府,縣政府主管,2.1.12.14
2015,2.1.13.1-53020012204,11118000,圖書資訊,縣政府主管,嘉義縣政府,文教活動,嘉義縣政府,縣政府主管,2.1.13.1
2015,2.1.14.1-53020019019,3700000,其他設備,縣政府主管,嘉義縣政府,一般建築及設備,嘉義縣政府,縣政府主管,2.1.14.1
2015,2.1.15.1-58020013101,43658000,農業行政管理,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.1
2015,2.1.15.2-58020013102,89515000,農業增產,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.2
2015,2.1.15.3-58020013103,7529000,林政管理,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.3
2015,2.1.15.4-58020013104,13067000,漁業管理與輔,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.4
2015,2.1.15.5-58020013105,6022000,家畜禽生產獎,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.5
2015,2.1.15.6-58020013106,4082000,輔導農漁會,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.6
2015,2.1.15.7-58020013107,3285000,山坡地水土保,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.7
2015,2.1.15.8-58020013108,13251000,農業綜合發展,縣政府主管,嘉義縣政府,農業管理與輔導,嘉義縣政府,縣政府主管,2.1.15.8
2015,2.1.16.1-58020013201,36000000,水利行政管理,縣政府主管,嘉義縣政府,水利行政,嘉義縣政府,縣政府主管,2.1.16.1
2015,2.1.16.2-58020013202,1250000,水權登記,縣政府主管,嘉義縣政府,水利行政,嘉義縣政府,縣政府主管,2.1.16.2
2015,2.1.16.3-58020013203,651000,公共工程行政,縣政府主管,嘉義縣政府,水利行政,嘉義縣政府,縣政府主管,2.1.16.3
2015,2.1.17.1-58020018101,839733000,防洪及灌溉工,縣政府主管,嘉義縣政府,水利工程,嘉義縣政府,縣政府主管,2.1.17.1
2015,2.1.17.2-58020018103,153970000,水利設施維護,縣政府主管,嘉義縣政府,水利工程,嘉義縣政府,縣政府主管,2.1.17.2
2015,2.1.18.1-58020018201,26869000,治山防洪及養,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.1
2015,2.1.18.2-58020018202,63213000,早期農地重劃,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.2
2015,2.1.18.3-58020018203,16000000,農地重劃區農,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.3
2015,2.1.18.4-58020018204,16000000,農地重劃區內,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.4
2015,2.1.18.5-58020018205,0,林業工程,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.5
2015,2.1.18.6-58020018206,161738000,漁港及產業道,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.6
2015,2.1.18.7-58020018207,305132000,下水道及污水,縣政府主管,嘉義縣政府,其他公共工程,嘉義縣政府,縣政府主管,2.1.18.7
2015,2.1.19.1-58020019019,3000000,其他設備,縣政府主管,嘉義縣政府,一般建築及設備,嘉義縣政府,縣政府主管,2.1.19.1
2015,2.1.20.1-59020013403,8921000,工業區開發行,縣政府主管,嘉義縣政府,工業行政,嘉義縣政府,縣政府主管,2.1.20.1
2015,2.1.21.1-59020013501,3121000,建築申請管理,縣政府主管,嘉義縣政府,建管行政,嘉義縣政府,縣政府主管,2.1.21.1
2015,2.1.21.2-59020013502,10628000,建築物使用管,縣政府主管,嘉義縣政府,建管行政,嘉義縣政府,縣政府主管,2.1.21.2
2015,2.1.21.3-59020013503,1592000,都市計劃行政,縣政府主管,嘉義縣政府,建管行政,嘉義縣政府,縣政府主管,2.1.21.3
2015,2.1.21.4-59020013505,611000,違章建築處理,縣政府主管,嘉義縣政府,建管行政,嘉義縣政府,縣政府主管,2.1.21.4
2015,2.1.22.1-59020018301,6000000,簡易自來水工,縣政府主管,嘉義縣政府,簡易自來水工程,嘉義縣政府,縣政府主管,2.1.22.1
2015,2.1.23.1-59020018501,2500000,工商設備,縣政府主管,嘉義縣政府,工商設備,嘉義縣政府,縣政府主管,2.1.23.1
2015,2.1.24.1-59020018701,0,莫拉克風災復,縣政府主管,嘉義縣政府,莫拉克風災復建,嘉義縣政府,縣政府主管,2.1.24.1
2015,2.1.25.1-60020013602,49576000,交通行政管理,縣政府主管,嘉義縣政府,交通管理業務,嘉義縣政府,縣政府主管,2.1.25.1
2015,2.1.26.1-60020018001,19520000,營業基金,縣政府主管,嘉義縣政府,營業基金,嘉義縣政府,縣政府主管,2.1.26.1
2015,2.1.27.1-60020018601,26797000,交通工程,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.1
2015,2.1.27.2-60020018602,344373000,縣鄉公路工程,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.2
2015,2.1.27.3-60020018603,131220000,縣鄉公路保養,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.3
2015,2.1.27.4-60020018605,184331000,縣道養護工程,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.4
2015,2.1.27.5-60020018611,21128000,都市計劃工程,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.5
2015,2.1.27.6-60020018613,112650000,興修山地公共,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.6
2015,2.1.27.7-60020018614,574341000,縣鄉公路企畫,縣政府主管,嘉義縣政府,道路橋樑工程,嘉義縣政府,縣政府主管,2.1.27.7
2015,2.1.28.1-61020013701,53277000,公用事業管理,縣政府主管,嘉義縣政府,觀光與公用事業,嘉義縣政府,縣政府主管,2.1.28.1
2015,2.1.28.2-61020013713,1150000,發包行政管理,縣政府主管,嘉義縣政府,觀光與公用事業,嘉義縣政府,縣政府主管,2.1.28.2
2015,2.1.29.1-61020014001,65914000,工商業行政管,縣政府主管,嘉義縣政府,工商業行政,嘉義縣政府,縣政府主管,2.1.29.1
2015,2.1.30.1-61020018901,135360000,公用事業工程,縣政府主管,嘉義縣政府,公用事業工程,嘉義縣政府,縣政府主管,2.1.30.1
2015,2.1.31.1-66020014101,37976000,農漁民健康保,縣政府主管,嘉義縣政府,農漁民健康保險,嘉義縣政府,縣政府主管,2.1.31.1
2015,2.1.32.1-75020016301,0,教育人員退休,縣政府主管,嘉義縣政府,教育人員退休給,嘉義縣政府,縣政府主管,2.1.32.1
2015,2.1.33.1-75020016401,0,教育人員撫卹,縣政府主管,嘉義縣政府,教育人員撫卹給,嘉義縣政府,縣政府主管,2.1.33.1
2015,2.1.34.1-75020016668,0,教育人員因公,縣政府主管,嘉義縣政府,教育人員因公致,嘉義縣政府,縣政府主管,2.1.34.1
2015,2.1.35.1-84020016901,21752000,補助鄉鎮,縣政府主管,嘉義縣政府,補助鄉鎮,嘉義縣政府,縣政府主管,2.1.35.1
2015,2.1.36.1-89020017676,0,教育人員各項,縣政府主管,嘉義縣政府,教育人員各項補,嘉義縣政府,縣政府主管,2.1.36.1
2015,3.1.1.1-33030010101,10831000,行政管理,民政處主管,嘉義縣太保市戶政,一般行政,嘉義縣太保市戶政,民政處主管,3.1.1.1
2015,3.1.2.1-33030011001,1631000,戶政業務,民政處主管,嘉義縣太保市戶政,戶政業務,嘉義縣太保市戶政,民政處主管,3.1.2.1
2015,3.2.1.1-33030020101,12532000,行政管理,民政處主管,嘉義縣朴子市戶政,一般行政,嘉義縣朴子市戶政,民政處主管,3.2.1.1
2015,3.2.2.1-33030021001,2203000,戶政業務,民政處主管,嘉義縣朴子市戶政,戶政業務,嘉義縣朴子市戶政,民政處主管,3.2.2.1
2015,3.3.1.1-33030030101,9264000,行政管理,民政處主管,嘉義縣布袋鎮戶政,一般行政,嘉義縣布袋鎮戶政,民政處主管,3.3.1.1
2015,3.3.2.1-33030031001,1747000,戶政業務,民政處主管,嘉義縣布袋鎮戶政,戶政業務,嘉義縣布袋鎮戶政,民政處主管,3.3.2.1
2015,3.4.1.1-33030040101,10272000,行政管理,民政處主管,嘉義縣大林鎮戶政,一般行政,嘉義縣大林鎮戶政,民政處主管,3.4.1.1
2015,3.4.2.1-33030041001,1490000,戶政業務,民政處主管,嘉義縣大林鎮戶政,戶政業務,嘉義縣大林鎮戶政,民政處主管,3.4.2.1
2015,3.5.1.1-33030050101,15828000,行政管理,民政處主管,嘉義縣民雄鄉戶政,一般行政,嘉義縣民雄鄉戶政,民政處主管,3.5.1.1
2015,3.5.2.1-33030051001,2916000,戶政業務,民政處主管,嘉義縣民雄鄉戶政,戶政業務,嘉義縣民雄鄉戶政,民政處主管,3.5.2.1
2015,3.6.1.1-33030060101,6330000,行政管理,民政處主管,嘉義縣溪口鄉戶政,一般行政,嘉義縣溪口鄉戶政,民政處主管,3.6.1.1
2015,3.6.2.1-33030061001,937000,戶政業務,民政處主管,嘉義縣溪口鄉戶政,戶政業務,嘉義縣溪口鄉戶政,民政處主管,3.6.2.1
2015,3.7.1.1-33030070101,10795000,行政管理,民政處主管,嘉義縣新港鄉戶政,一般行政,嘉義縣新港鄉戶政,民政處主管,3.7.1.1
2015,3.7.2.1-33030071001,2826000,戶政業務,民政處主管,嘉義縣新港鄉戶政,戶政業務,嘉義縣新港鄉戶政,民政處主管,3.7.2.1
2015,3.8.1.1-33030080101,8454000,行政管理,民政處主管,嘉義縣六腳鄉戶政,一般行政,嘉義縣六腳鄉戶政,民政處主管,3.8.1.1
2015,3.8.2.1-33030081001,1466000,戶政業務,民政處主管,嘉義縣六腳鄉戶政,戶政業務,嘉義縣六腳鄉戶政,民政處主管,3.8.2.1
2015,3.9.1.1-33030090101,8122000,行政管理,民政處主管,嘉義縣東石鄉戶政,一般行政,嘉義縣東石鄉戶政,民政處主管,3.9.1.1
2015,3.9.2.1-33030091001,1594000,戶政業務,民政處主管,嘉義縣東石鄉戶政,戶政業務,嘉義縣東石鄉戶政,民政處主管,3.9.2.1
2015,3.10.1.1-33030100101,7247000,行政管理,民政處主管,嘉義縣義竹鄉戶政,一般行政,嘉義縣義竹鄉戶政,民政處主管,3.10.1.1
2015,3.10.2.1-33030101001,1434000,戶政業務,民政處主管,嘉義縣義竹鄉戶政,戶政業務,嘉義縣義竹鄉戶政,民政處主管,3.10.2.1
2015,3.11.1.1-33030110101,6414000,行政管理,民政處主管,嘉義縣鹿草鄉戶政,一般行政,嘉義縣鹿草鄉戶政,民政處主管,3.11.1.1
2015,3.11.2.1-33030111001,1252000,戶政業務,民政處主管,嘉義縣鹿草鄉戶政,戶政業務,嘉義縣鹿草鄉戶政,民政處主管,3.11.2.1
2015,3.12.1.1-33030120101,13478000,行政管理,民政處主管,嘉義縣水上鄉戶政,一般行政,嘉義縣水上鄉戶政,民政處主管,3.12.1.1
2015,3.12.2.1-33030121001,2882000,戶政業務,民政處主管,嘉義縣水上鄉戶政,戶政業務,嘉義縣水上鄉戶政,民政處主管,3.12.2.1
2015,3.13.1.1-33030130101,12029000,行政管理,民政處主管,嘉義縣中埔鄉戶政,一般行政,嘉義縣中埔鄉戶政,民政處主管,3.13.1.1
2015,3.13.2.1-33030131001,2045000,戶政業務,民政處主管,嘉義縣中埔鄉戶政,戶政業務,嘉義縣中埔鄉戶政,民政處主管,3.13.2.1
2015,3.14.1.1-33030140101,9813000,行政管理,民政處主管,嘉義縣竹崎鄉戶政,一般行政,嘉義縣竹崎鄉戶政,民政處主管,3.14.1.1
2015,3.14.2.1-33030141001,1933000,戶政業務,民政處主管,嘉義縣竹崎鄉戶政,戶政業務,嘉義縣竹崎鄉戶政,民政處主管,3.14.2.1
2015,3.15.1.1-33030150101,7428000,行政管理,民政處主管,嘉義縣梅山鄉戶政,一般行政,嘉義縣梅山鄉戶政,民政處主管,3.15.1.1
2015,3.15.2.1-33030151001,1766000,戶政業務,民政處主管,嘉義縣梅山鄉戶政,戶政業務,嘉義縣梅山鄉戶政,民政處主管,3.15.2.1
2015,3.16.1.1-33030160101,5167000,行政管理,民政處主管,嘉義縣番路鄉戶政,一般行政,嘉義縣番路鄉戶政,民政處主管,3.16.1.1
2015,3.16.2.1-33030161001,840000,戶政業務,民政處主管,嘉義縣番路鄉戶政,戶政業務,嘉義縣番路鄉戶政,民政處主管,3.16.2.1
2015,3.17.1.1-33030170101,3811000,行政管理,民政處主管,嘉義縣大埔鄉戶政,一般行政,嘉義縣大埔鄉戶政,民政處主管,3.17.1.1
2015,3.17.2.1-33030171001,707000,戶政業務,民政處主管,嘉義縣大埔鄉戶政,戶政業務,嘉義縣大埔鄉戶政,民政處主管,3.17.2.1
2015,3.18.1.1-33030180101,4667000,行政管理,民政處主管,嘉義縣阿里山鄉戶,一般行政,嘉義縣阿里山鄉戶,民政處主管,3.18.1.1
2015,3.18.2.1-33030181001,818000,戶政業務,民政處主管,嘉義縣阿里山鄉戶,戶政業務,嘉義縣阿里山鄉戶,民政處主管,3.18.2.1
2015,4.1.1.1-33040010101,64135000,行政管理,地政處主管,嘉義縣朴子地政事,一般行政,嘉義縣朴子地政事,地政處主管,4.1.1.1
2015,4.1.1.2-33040010102,2082000,所務管理,地政處主管,嘉義縣朴子地政事,一般行政,嘉義縣朴子地政事,地政處主管,4.1.1.2
2015,4.1.2.1-33040010918,282000,平均地權重新,地政處主管,嘉義縣朴子地政事,地政業務,嘉義縣朴子地政事,地政處主管,4.1.2.1
2015,4.1.2.2-33040010921,1691000,推行土地及建,地政處主管,嘉義縣朴子地政事,地政業務,嘉義縣朴子地政事,地政處主管,4.1.2.2
2015,4.1.2.3-33040010922,1561000,土地複丈及勘,地政處主管,嘉義縣朴子地政事,地政業務,嘉義縣朴子地政事,地政處主管,4.1.2.3
2015,4.1.2.4-33040010924,1634000,編製土地現值,地政處主管,嘉義縣朴子地政事,地政業務,嘉義縣朴子地政事,地政處主管,4.1.2.4
2015,4.1.2.5-33040010927,474000,非都市土地使,地政處主管,嘉義縣朴子地政事,地政業務,嘉義縣朴子地政事,地政處主管,4.1.2.5
2015,4.1.3.1-33040019019,240000,其他設備,地政處主管,嘉義縣朴子地政事,一般建築及設備,嘉義縣朴子地政事,地政處主管,4.1.3.1
2015,4.2.1.1-33040020101,60050000,行政管理,地政處主管,嘉義縣大林地政事,一般行政,嘉義縣大林地政事,地政處主管,4.2.1.1
2015,4.2.1.2-33040020102,1449000,所務管理,地政處主管,嘉義縣大林地政事,一般行政,嘉義縣大林地政事,地政處主管,4.2.1.2
2015,4.2.2.1-33040020918,230000,平均地權重新,地政處主管,嘉義縣大林地政事,地政業務,嘉義縣大林地政事,地政處主管,4.2.2.1
2015,4.2.2.2-33040020921,2022000,推行土地及建,地政處主管,嘉義縣大林地政事,地政業務,嘉義縣大林地政事,地政處主管,4.2.2.2
2015,4.2.2.3-33040020922,1586000,土地複丈及勘,地政處主管,嘉義縣大林地政事,地政業務,嘉義縣大林地政事,地政處主管,4.2.2.3
2015,4.2.2.4-33040020924,1406000,編製土地現值,地政處主管,嘉義縣大林地政事,地政業務,嘉義縣大林地政事,地政處主管,4.2.2.4
2015,4.2.2.5-33040020927,459000,非都市土地使,地政處主管,嘉義縣大林地政事,地政業務,嘉義縣大林地政事,地政處主管,4.2.2.5
2015,4.2.3.1-33040029019,100000,其他設備,地政處主管,嘉義縣大林地政事,一般建築及設備,嘉義縣大林地政事,地政處主管,4.2.3.1
2015,4.3.1.1-33040030101,62336000,行政管理,地政處主管,嘉義縣水上地政事,一般行政,嘉義縣水上地政事,地政處主管,4.3.1.1
2015,4.3.1.2-33040030102,2320000,所務管理,地政處主管,嘉義縣水上地政事,一般行政,嘉義縣水上地政事,地政處主管,4.3.1.2
2015,4.3.2.1-33040030918,228000,平均地權重新,地政處主管,嘉義縣水上地政事,地政業務,嘉義縣水上地政事,地政處主管,4.3.2.1
2015,4.3.2.2-33040030921,2496000,推行土地及建,地政處主管,嘉義縣水上地政事,地政業務,嘉義縣水上地政事,地政處主管,4.3.2.2
2015,4.3.2.3-33040030922,1755000,土地複丈及勘,地政處主管,嘉義縣水上地政事,地政業務,嘉義縣水上地政事,地政處主管,4.3.2.3
