year,code,amount,last_amount,name,topname,depname,depcat,category,cat,ref,comment
2017,2.2.3.1-32020110701,289000,291000,事業預算編審與督導,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,事業預算編審與督導執,高雄市政府主管,2.2.3.1,本年度預算數289千元，較上年度減列召開預算審核會議相關經費2千元。
2017,2.2.4.1-32020110801,749000,476000,會計與決算,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,會計與決算,高雄市政府主管,2.2.4.1,本年度預算數749千元，較上年度增列縣市預算會計系統上線輔導等經費273千元。
2017,2.2.5.1-32020110901,392000,392000,公務統計,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,公務統計,高雄市政府主管,2.2.5.1,本年度預算數392千元，係辦理各項公務統計作業經費，與上年度同。
2017,2.2.6.1-32020111001,5996000,6270000,經濟統計,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,經濟統計,高雄市政府主管,2.2.6.1,"本年度預算數較上年度減列274千元，包括：
1.物價調查與統計分析經費3,586千元，較上年度增列物價調查等經費45千元。
2.民間經濟活動調查2,410千元，較上年度減列家庭收支記帳調查戶數等經費319千元。"
2017,2.2.7.1-32020117901,56000,56000,第一預備金,高雄市政府主管,高雄市政府主計處,高雄市政府主計處,第一預備金,高雄市政府主管,2.2.7.1,仍照上年度預算數編列。
2017,2.3.1.1-32020120101,81361000,80783000,行政管理,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,一般行政,高雄市政府主管,2.3.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費74,491千元與上年度同。
2.基本行政工作維持費6,870千元，較上年度增列資訊服務及軟硬體設備等經費578千元。"
2017,2.3.2.1-32020121101,847000,867000,辦理綜合性業務及人,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,綜合性業務及人事人員,高雄市政府主管,2.3.2.1,本年度預算數847千元，較上年度減列研究發展等講習費用20千元。
2017,2.3.3.1-32020121201,503000,523000,辦理機關組織及任審,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,組織及任免遷調考試,高雄市政府主管,2.3.3.1,本年度預算數503千元，較上年度減列聘請法規講座鐘點費20千元。
2017,2.3.4.1-32020121301,1306000,1436000,考核獎懲及研習進修,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,考核獎懲及研習進修,高雄市政府主管,2.3.4.1,"本年度預算數1,306千元，較上年度減列國外旅費等經費130千元。"
2017,2.3.5.1-32020121401,2056000,2116000,待遇福利及退休撫卹,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,待遇福利及退休撫卹,高雄市政府主管,2.3.5.1,"本年度預算數2,056千元，較上年度減列辦理未婚聯誼及員工社團推展等經費60千元。"
2017,2.3.6.1-32020121501,71074000,71289000,公教人員住宅輔貸,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,住宅輔貸,高雄市政府主管,2.3.6.1,"本年度預算數71,074千元，較上年度減列對原高雄縣公教住宅貸款差額補貼經費215千元。"
2017,2.3.7.1-32020127901,95000,95000,第一預備金,高雄市政府主管,高雄市政府人事處,高雄市政府人事處,第一預備金,高雄市政府主管,2.3.7.1,仍照上年度預算數編列。
2017,2.4.1.1-32020130101,60136000,60280000,行政管理,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,一般行政,高雄市政府主管,2.4.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費57,003千元與上年度同。
2.基本行政工作維持費3,133千元，較上年度減列購置office專業版及退休人員三節慰問金144千元。"
2017,2.4.2.1-32020131601,3983000,4078000,策定年度施政計畫,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,綜合計畫,高雄市政府主管,2.4.2.1,"本年度預算數3,983千元，較上年度減列推動公民參與、辦理公民提案之相關經費95千元。"
2017,2.4.3.1-32020131701,6628000,6702000,市政研究發展及革新,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,研究發展,高雄市政府主管,2.4.3.1,"本年度預算數較上年度減列74千元，包括：
1.國外旅費380千元，較上年度增列20千元。
2.委託研究、創新提案、市政專題研究、營造英語生活環境、提昇便民服務、公民參與等外聘委員出席費或書面審查費295千元，較上年度減列94千元。"
2017,2.4.4.1-32020131801,540000,540000,列管計畫考核評估,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,管制考核,高雄市政府主管,2.4.4.1,本年度預算數540千元，係辦理本府年度施政計畫選項、定期追蹤管考及年終考核等經費，與上年度同。
2017,2.4.5.1-32020131901,39055000,37855000,聯合服務業務,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,為民服務,高雄市政府主管,2.4.5.1,"本年度預算數39,055千元，較上年度增列1999大數據分析系統租賃費1,200千元。"
2017,2.4.6.1-32020132001,1239000,1239000,工程品質查核,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,工程品質評鑑與查核,高雄市政府主管,2.4.6.1,"本年度預算數1,239千元，係辦理工程品質查核經費，與上年度同。"
2017,2.4.7.1-32020137901,95000,95000,第一預備金,高雄市政府主管,高雄市政府研究發展考核,高雄市政府研究發展考核,第一預備金,高雄市政府主管,2.4.7.1,仍照上年度預算數編列。
2017,2.5.1.1-32020140101,52844000,52985000,行政管理,高雄市政府主管,高雄市政府政風處,高雄市政府政風處,一般行政,高雄市政府主管,2.5.1.1,"本年度預算數之內容與上年度之
比較如下：
1.人員維持費51,001千元與上年度同。
2.基本行政工作維持費1,843千元，較上年度減列退休人員三節慰問金及資訊服務費等經費141千元。"
2017,2.5.2.1-32020142101,781000,787000,組織管理機密維護,高雄市政府主管,高雄市政府政風處,高雄市政府政風處,組織管理機密維護,高雄市政府主管,2.5.2.1,本年度預算數781千元，較上年度減列通訊等經費6千元。
2017,2.5.3.1-32020142201,240000,240000,政風查處,高雄市政府主管,高雄市政府政風處,高雄市政府政風處,政風調查,高雄市政府主管,2.5.3.1,本年度預算數240千元，係辦理政風查處經費，與上年度同。
2017,2.5.4.1-32020142301,715000,715000,政風防弊,高雄市政府主管,高雄市政府政風處,高雄市政府政風處,預防貪瀆,高雄市政府主管,2.5.4.1,本年度預算數715千元，係辦理財產申報受理審查及推廣行政透明等經費，與上年度同。
2017,2.5.5.1-32020147901,90000,90000,第一預備金,高雄市政府主管,高雄市政府政風處,高雄市政府政風處,第一預備金,高雄市政府主管,2.5.5.1,仍照上年度預算數編列。
2017,2.6.1.1-33020150101,34634000,33954000,行政管理,高雄市政府主管,高雄市政府原住民事務委,高雄市政府原住民事務委,一般行政,高雄市政府主管,2.6.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費29,780千元，較上年度核實減列人事費720千元。
2.基本行政工作維持費4,854千元，較上年度新增購置公務車及兼任委員兼職費等經費1,400千元。"
2017,2.6.2.1-33020150201,54185000,40311000,原住民文化教育,高雄市政府主管,高雄市政府原住民事務委,高雄市政府原住民事務委,原住民行政,高雄市政府主管,2.6.2.1,"本年度預算數較上年度增列13,874千元，包括：
1.新增辦理本市族語推廣計畫及原住民族實驗小學計畫1,500千元。
2.新增辦理全國原住民運動會2,400千元。
3.辦理原住民幼兒學前教育補助計畫及原住民部落活力計畫等經費38,666千元，較上年度增列9,974千元。"
2017,2.6.2.2-33020150202,59191000,19875000,原住民衛生福利,高雄市政府主管,高雄市政府原住民事務委,高雄市政府原住民事務委,原住民行政,高雄市政府主管,2.6.2.2,"本年度預算數較上年度增列39,316千元，包括：
1.新增鳳山區五甲國宅租金960千元。
2.新增辦理高雄市原住民社會住宅環境改善及安置計畫4,000千元。
3.新增辦理桃源區復興里災後住宅重建計畫4,500千元。
4.辦理原住民族家庭暨婦女服務中心及原住民部落文化健康照顧計畫等經費39,972千元，較上年度增列補助及配合款29,856千元。"
2017,2.6.2.3-33020150203,505487000,366443000,原住民經濟土地,高雄市政府主管,高雄市政府原住民事務委,高雄市政府原住民事務委,原住民行政,高雄市政府主管,2.6.2.3,"本年度預算數較上年度增列139,044千元，包括：
1.新增辦理原住民樂舞展演468千元。
2.辦理補助原住民地區自治經費及考核獎勵金287,548千元，較上年度增列5,313千元。
3.辦理原住民保留地森林保育計畫-集水區保護林帶林木禁伐補償經費155,032千元，較上年度增列133,162千元。
4.辦理原住民族知識發展創意經濟等經費59,572千元，較上年度增列2,312千元。
5.上年度辦理原住民族產業深耕及行銷推廣計畫預算業已編竣，所列2,211千元如數減列。"
2017,2.6.2.4-33020150204,114109000,138867000,原住民部落建設,高雄市政府主管,高雄市政府原住民事務委,高雄市政府原住民事務委,原住民行政,高雄市政府主管,2.6.2.4,"本年度預算數較上年度減列24,758千元，包括：
1.新增辦理那瑪夏區市區道路人本環境建設計畫及通學步道改善等經費5,570千元。
2.新增辦理茂林市道高132線道路改善工程5,437千元。
3.增列國內旅費40千元。
4.辦理部落特色道路及永續造景經費56,472千元，較上年度減列補助及配合款35,805千元。"
2017,2.6.3.1-33020157901,40000,40000,第一預備金,高雄市政府主管,高雄市政府原住民事務委,高雄市政府原住民事務委,第一預備金,高雄市政府主管,2.6.3.1,仍照上年度預算數編列。
2017,2.7.1.1-33020160101,27392000,27018000,行政管理,高雄市政府主管,高雄市政府客家事務委員,高雄市政府客家事務委員,一般行政,高雄市政府主管,2.7.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費23,115千元與上年度同。
2.基本行政工作維持費4,277千元，較上年度增列新客家文化園區清潔維護等經費374千元。"
2017,2.7.2.1-33020160301,34092000,107662000,客家事務管理,高雄市政府主管,高雄市政府客家事務委員,高雄市政府客家事務委員,客家行政,高雄市政府主管,2.7.2.1,"本年度預算數較上年度減列73,570千元，包括：
1.客家文化事務合作交流7,138千元，較上年度減列北客六龜採樟史蹟聚落整體環境保存營造計畫等經費8,277千元。
2.客家文化語言推廣及社團輔導9,540千元，較上年度減列補助本市各級學校辦理各項客家藝文客語教學等各項費用經費1,860千元。
3.客家產業發展及藝文創作2,121千元，較上年度減列福安菸葉輔導站客家藝文、音樂及產業交流中心規劃設計暨工程案等經費30,435千元。
4.客家文化活動4,500千元，較上年度減列客庄12大節慶-高雄客家文化節等經費200千元。
5.美濃客家文物館經營管理10,793千元，較上年度減列美濃學園教育藝文館及客家文物館辦理室內展示軟體與營運規劃及典藏文物細部設計暨工程等經費32,798千元。"
2017,2.7.3.1-33020167901,0,63000,第一預備金,高雄市政府主管,高雄市政府客家事務委員,高雄市政府客家事務委員,第一預備金,高雄市政府主管,2.7.3.1,本年度預算數較上年度減列如列數。
2017,2.8.1.1-51020170101,33750000,33878000,行政管理,高雄市政府主管,高雄市政府公務人力發展,高雄市政府公務人力發展,一般行政,高雄市政府主管,2.8.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費30,948千元，與上年度相同。
2.基本行政工作維持費2,802千元，較上年度新增公務車529千元，減列參加ATD年會、購置資訊軟硬體、三節慰問金等經費657千元。"
2017,2.8.2.1-51020170201,18374000,18623000,教育訓練研習,高雄市政府主管,高雄市政府公務人力發展,高雄市政府公務人力發展,教學行政支出,高雄市政府主管,2.8.2.1,"本年度預算數18,374千元，較上年度減列249千元，包括：
1.講座鐘點、差旅費及製作數位學習課程等經費12,794千元，較上年度增列501千元。
2.教材印製費及資訊專題研究與論壇經費950千元，較上年度減列150千元。
3.上年度辦理公務人員溝通服務認證及個案教材撰寫預算業已編竣，所列600千元如數減列。"
2017,2.9.1.1-32020180101,41593000,41646000,行政管理,高雄市政府主管,高雄市政府資訊中心,高雄市政府資訊中心,一般行政,高雄市政府主管,2.9.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費40,831千元與上年度同。
2.基本行政工作維持費762千元，較上年度減列公務車租車費及退休人員三節慰問金等53千元。"
2017,2.9.2.1-32020182401,7735000,5530000,資訊整合規劃設計與,高雄市政府主管,高雄市政府資訊中心,高雄市政府資訊中心,市政資訊發展,高雄市政府主管,2.9.2.1,"本年度預算數較上年度增列2,205千元，包括：
1.新增市政資訊視覺化推廣與運用2,000千元。
2.新增行動化地理性資料整合系統600千元。
3.新增機關資訊共享平台系統功能提昇650千元。
4.新增資料加值黑客松950千元。
5.線上即時服務系統功能提昇經費800千元，較上年度減列140千元。
6.基本業務維持費1,835千元，較上年度減列市府會計預決算系統等經費35千元。 
7.上年度辦理市政資訊新增決策支援系統功能提昇，預算業已編竣，所列600千元如數減列。
8.上年度辦理E化服務網功能提昇暨系統移植及跨機關便民服務資訊平台系統功能提昇，預算業已編竣，所列1,220千元如數減列。"
2017,2.9.3.1-32020182501,14684000,11984000,市政網站及郵件服務,高雄市政府主管,高雄市政府資訊中心,高雄市政府資訊中心,網路應用服務管理,高雄市政府主管,2.9.3.1,"本年度預算數較上年度增列2,700千元，包括：
1.新增永續智慧社區創新實證示範計畫規劃設置6,118千元。
2.新增單一帳號認證平台建置1,300千元。
3.新增全府電子郵件資料庫同步儲存設備950千元。
4.新增強化機關網站共用模版與平台設備950千元。
5.基本業務維持費2,966千元，較上年度增列府網頁及郵件資安漏洞掃描檢核等經費382千元。
6.全府全球資訊網暨機關網站整合服務平台建置經費1,500千元，較上年度減列3,300千元。
7.全府電子郵件帳號管理系統建置經費900千元，較上年度減列2,800千元。
8.上年度辦理擴增寄存機關網站環境平台，預算業已編竣，所列900千元如數減列。"
2017,2.9.4.1-32020182601,15820000,13909000,機房網路及資安管理,高雄市政府主管,高雄市政府資訊中心,高雄市政府資訊中心,資訊基礎建設管理,高雄市政府主管,2.9.4.1,"本年度預算數較上年度增列1,911千元，包括：
1.新增市府資料備份系統1,850千元。
2.新增鳳山行政中心防火牆(含IPS)汰換更新1,410千元。
3.新增市府骨幹網路交換器模組及網管授權擴充900千元。
4.新增四維行政中心防火牆資安防護功能擴充270千元。
5.基本業務維持費10,290千元，較上年度增列市府iTaiwan無線服務等經費1,131千元。
6.擴充市府虛擬平台系統規模經費900千元，較上年度減列950千元。
7.上年度辦理Web應用程式防火牆，預算業已編竣，所列1,500千元如數減列。
8.上年度辦理進階持續性滲透攻擊(APT)防禦系統，預算業已編竣，所列1,200千元如數減列。"
2017,2.10.1.1-33023000101,49857000,49476000,行政管理,高雄市政府主管,高雄市鹽埕區公所,高雄市鹽埕區公所,一般行政,高雄市政府主管,2.10.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費33,948千元與上年度同。
2.基本行政工作維持費1,204千元，較上年度增列汰換公務車等經費389千元。
3.里鄰長及里幹事相關經費14,705千元，較上年度減列8千元。"
2017,2.10.2.1-33023000401,13215000,15275000,業務管理,高雄市政府主管,高雄市鹽埕區公所,高雄市鹽埕區公所,區公所業務,高雄市政府主管,2.10.2.1,"本年度預算數較上年度減列2,060千元，包括:
1.區公所共同費用項目經費9,441千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費1,986千元。
2.辦理中央補助業務經費299千元與上年度同。
3.其他業務運作經費3,475千元，較上年度減列水電費等經費74千元。"
2017,2.10.3.1-60023000201,700000,1190000,小型工程,高雄市政府主管,高雄市鹽埕區公所,高雄市鹽埕區公所,基層建設,高雄市政府主管,2.10.3.1,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程600千元。
2.6公尺以下道路維護費100千元。"
2017,2.11.1.1-33023010101,84085000,86215000,行政管理,高雄市政府主管,高雄市鼓山區公所,高雄市鼓山區公所,一般行政,高雄市政府主管,2.11.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費55,623千元與上年度同。
2.基本行政工作維持費803千元，較上年度減列汰換公務車及三節慰問金等經費781千元。
3.里鄰長及里幹事相關經費27,659千元，較上年度增列1千元。
4.上年度辦理行政大樓修繕工程，預算業已編竣，所列1,350千元如數減列。"
2017,2.11.2.1-33023010401,40257000,42041000,業務管理,高雄市政府主管,高雄市鼓山區公所,高雄市鼓山區公所,區公所業務,高雄市政府主管,2.11.2.1,"本年度預算數較上年度減列1,784千元，包括：
1.新增哈瑪星地區監視器纜線下地及遷移工程1,588千元。
2.區公所共同費用項目經費26,581千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,370千元。
3.辦理中央補助及回饋金業務經費8,449千元，較上年度減列700千元。
4.其他業務運作經費3,639千元，較上年度減列影印機租金及電腦維護等經費302千元。"
2017,2.11.3.1-60023010201,7057000,4300000,小型工程,高雄市政府主管,高雄市鼓山區公所,高雄市鼓山區公所,基層建設,高雄市政府主管,2.11.3.1,"本年度編列項目如下:
1.修建6公尺以下巷道工程及小型排水溝工程4,064千元。
2.6公尺以下道路維護費1,393千元。
3.鼓山區哨船街67號旁空地綠美化工程1,600千元。"
2017,2.12.1.1-33023020101,90354000,91193000,行政管理,高雄市政府主管,高雄市左營區公所,高雄市左營區公所,一般行政,高雄市政府主管,2.12.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費61,870千元與上年度同。
2.基本行政工作維持費1,010千元，較上年度減列汰換公務車及三節慰問金等經費635千元。
3.里鄰長及里幹事相關經費27,474千元，較上年度減列204千元。"
2017,2.12.2.1-33023020401,41996000,46630000,業務管理,高雄市政府主管,高雄市左營區公所,高雄市左營區公所,區公所業務,高雄市政府主管,2.12.2.1,"本年度預算數較上年度減列4,634千元，包括：
1.區公所共同費用項目經費26,496千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費3,966千元。
2.辦理中央補助與回饋金業務經費9,349千元，較上年度減列300千元。
3.其他業務運作經費6,151千元，較上年度減列保全費及office隨機版等經費368千元。"
2017,2.12.3.1-60023020201,3528000,2770000,小型工程,高雄市政府主管,高雄市左營區公所,高雄市左營區公所,基層建設,高雄市政府主管,2.12.3.1,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程2,599千元。
2.6公尺以下道路維護費929千元。"
2017,2.13.1.1-33023030101,87286000,88279000,行政管理,高雄市政府主管,高雄市楠梓區公所,高雄市楠梓區公所,一般行政,高雄市政府主管,2.13.1.1,"本年度預算數之內容與上年度之比較如下:
1.人員維持費58,307千元與上年度同。
2.基本行政工作維持費1,145千元，較上年度減列汰換公務車及三節慰問金等經費756千元。
3.里鄰長及里幹事相關經費27,834元，較上年度減列237千元。"
2017,2.13.2.1-33023030401,43579000,47360000,業務管理,高雄市政府主管,高雄市楠梓區公所,高雄市楠梓區公所,區公所業務,高雄市政府主管,2.13.2.1,"本年度預算數較上年度減列3,781千元，包括：
1.區公所共同費用項目經費29,079千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,416千元。
2.辦理中央補助與回饋金業務經費10,349千元，較上年度減列1,200千元。
3.其他業務運作經費4,151千元，較上年度減列電費等經費165千元。"
2017,2.13.3.1-60023030201,6480000,5920000,小型工程,高雄市政府主管,高雄市楠梓區公所,高雄市楠梓區公所,基層建設,高雄市政府主管,2.13.3.1,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程5,530千元。
2.6公尺以下道路維護費950千元。"
2017,2.14.1.1-33023040101,159463000,160557000,行政管理,高雄市政府主管,高雄市三民區公所,高雄市三民區公所,一般行政,高雄市政府主管,2.14.1.1,"本年度預算數之內容與上年度之比較如下:
1.人員維持費95,346千元與上年度同。
2.基本行政工作維持費1,703千元，較上年度減列雜支費及三節慰問金等經費512千元。
3.里鄰長及里幹事相關經費62,414千元，較上年度減列582千元。"
2017,2.14.2.1-33023040401,79540000,80599000,業務管理,高雄市政府主管,高雄市三民區公所,高雄市三民區公所,區公所業務,高雄市政府主管,2.14.2.1,"本年度預算數較上年度減列1,059千元，包括：
1.區公所共同費用項目經費63,086千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費5,176千元。 
2.辦理中央補助與回饋金業務經費9,349千元，較上年度增列4,450千元。
3.其他業務運作經費7,105千元，較上年度減列水電費及幸福三太子文創商品行銷等經費333千元。"
2017,2.14.3.1-60023040201,9720000,14340000,小型工程,高雄市政府主管,高雄市三民區公所,高雄市三民區公所,基層建設,高雄市政府主管,2.14.3.1,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程8,264千元。
2.6公尺以下道路維護費1,456千元。"
2017,2.15.1.1-33023050101,70630000,70354000,行政管理,高雄市政府主管,高雄市新興區公所,高雄市新興區公所,一般行政,高雄市政府主管,2.15.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費46,175千元與上年度同。
2.基本行政工作維持費1,377千元，較上年度增列汰換公務車等經費276千元。
3.里鄰長及里幹事相關經費23,078千元與上年度同。"
2017,2.15.2.1-33023050401,23305000,25555000,業務管理,高雄市政府主管,高雄市新興區公所,高雄市新興區公所,區公所業務,高雄市政府主管,2.15.2.1,"本年度預算數較上年度減列2,250千元，包括：
1.區公所共同費用項目經費17,841千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,025千元。
2.辦理中央補助業務經費449千元與上年度同。
3.其他業務運作經費5,015千元，較上年度減列八德路與民族路口社教用地租金及表冊印刷等經費225千元。"
2017,2.15.3.1-60023050201,1750000,1500000,小型工程,高雄市政府主管,高雄市新興區公所,高雄市新興區公所,基層建設,高雄市政府主管,2.15.3.1,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程1,050千元。 
2.6公尺以下道路維護費700千元。"
