高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,,2,,740502,老弱及特殊市民收容給養計畫," 	83,918 "," 	88,918 ","-	5,000 ","本年度預算數83,918千元，較
上年度減列精神疾病醫療養護
院所收容慢性精神障礙者經費
5,000千元。"
,,,4,,740504,低收入戶暨清寒市民救助計畫," 	1,876,331 "," 	1,978,885 ","-	102,554 ","本年度預算數較上年度減列
102,554千元，包括：
1.一般業務1,122千元，較上
  年度增列印製資料及雜支等
  經費34千元。
2.低收入戶暨清寒市民醫療及
  乘車船補助11,563千元，較
  上年度增列低收及中低收入
  醫療及住院看護補助2,625
  千元。
3.中低收入補助計畫14,836千
  元，較上年度增列辦理幸福
  萌芽‧青少年發展帳戶等經
  費11,942千元。
4.低收入戶生活扶助
  1,827,062千元，較上年度
  減列低收入戶家庭生活及就
  學生活等經費112,355千元
  。
5.急難及災害救助計畫21,748
  千元，較上年度減列辦理專
  案加發康芮颱風暨0831超大
  豪雨住戶淹水救助4,800千
  元。"
,,12,,,751100,福利服務," 	9,273,747 "," 	9,314,216 ","-	40,469 ",
,,,1,,751101,老人福利服務計畫," 	3,584,102 "," 	3,479,261 "," 	104,841 ","本年度預算數較上年度增列
104,841千元，包括：
1.老人活動場所管理3,280千
  元，較上年度增列辦理高雄
  市各老人活動及照顧場所建
  物修繕及充實設施設備方案
  2,000千元。
2.中低收入老人生活津貼
  2,487,014千元，較上年度增
  列119,853千元。
3.老人福利服務1,093,674千元
  ，較上年度減列委託社福機
  構或團體辦理老人居家照顧
  服務等經費17,012千元。"
,,,2,,751102,婦幼及青少年福利服務計畫," 	1,746,032 "," 	1,931,920 ","-	185,888 ","本年度預算數較上年度減列
185,888千元，包括：
1.弱勢家庭兒少扶助467,406
  千元，較上年度增列20,993
  千元。
2.設置婦女及兒童少年安置機
  構5,159千元，較上年度增列
  馨心園個案安置餐費100千元
  。
3.弱勢家庭服務49,813千元，
  較上年度增列兒童及少年保
  護社工人力計畫及社工人身
  安全工作補助費等經費
  4,942千元。
4.托嬰機構業務31,413千元，
  較上年度減列設置公私協力
  托嬰中心計畫等經費1,285
  千元。
5.家庭托育服務1,006,875千
  元，較上年度減列辦理父母
  未就業家庭育兒津貼實施計
  畫及保母托育管理與托育費
  用補助等經費207,011千元。"
,,,,,,,,,,"6.兒童及少年寄養62,105千元
  ，較上年度減列辦理高雄市
  兒童及少年保護個案親屬安
  置服務方案等經費2,220千
  元。"
,,,,,,,,,,"7.其他業務運作維持經費
  57,262千元，較上年度減列
  婦女數位資源網路建構與整
  合、社福中心建物修繕維護
  等經費1,407千元。"
,,,3,,751103,身心障礙福利服務計畫," 	3,936,036 "," 	3,895,483 "," 	40,553 ","本年度預算數較上年度增列
40,553千元，包括：
1.身心障礙市民收容教養及輔
  助器具補助579,682千元，
  較上年度增列日間照顧及住
  宿式照顧等經費9,180千元。
2.辦理身心障礙福利社團機構
  業務10,024千元，較上年度
  增列辦理岡山身心障礙福利
  服務中心硬體設施設備修繕
  計畫4,000千元。
3.身心障礙者租購屋、停車位
  租金及貸款利息補助10,595
  千元，較上年度增列差額補
  貼2,052千元。
4.身心障礙者生活補助
  3,090,425千元，較上年度
  增列28,144千元。
5.社區及居家福利服務措施
  234,214千元，較上年度減
  列委託民營業者辦理無障礙
  運輸交通服務等經費2,746
  千元。"
,,,,,,,,,,"6.辦理身心障礙者全面換證實
  驗計畫9,981千元，較上年度
  減列社工人力77千元。"
,,,4,,751104,其他福利服務計畫," 	7,577 "," 	7,552 ", 	25 ,"本年度預算數較上年度增列25
千元，包括：
1.推行社會工作業務2,384千
  元，較上年度增列辦理藥物
  成癮者家庭支持服務方案及
  推動社工人身安全保障競爭
  型計畫等經費1,505千元。
2.社會工作發展5,193千元，
  較上年度減列一卡通電子票
  證應用於公部門系統建置案
  -結合社會福利政策等經費
  1,480千元。"
,,15,,,754000,預備金," 	4,408 "," 	4,408 ", 	-00 ,
,,,1,,754001,第一預備金," 	4,408 "," 	4,408 ", 	-00 ,仍照上年度預算數編列。
,5,,,08005,,仁愛之家," 	56,342 "," 	55,506 ", 	836 ,
,,1,,,750100,一般行政," 	36,746 "," 	35,800 ", 	946 ,
,,,1,,750101,行政管理," 	36,746 "," 	35,800 ", 	946 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費26,960千元，較
  上年度核實增列人事費544千
  元。
2.基本行政工作維持費9,786千
  元，較上年度增列室內空氣
  品質檢驗測定費及網路設備
  汰換等經費402千元。"
,,2,,,740200,社會救助," 	18,163 "," 	18,177 ",-	14 ,
,,,1,,740202,仁愛之家公費家民給養," 	18,163 "," 	18,177 ",-	14 ,"本年度預算數較上年度減列14
千元，包括：
1.團體工作坊外聘領導講師鐘
  點費經費49千元，較上年度
  增列19千元。
2.購置家民生活用品、衣褲及
  協助弱勢長輩送飯等經費260
  千元，較上年度減列33千元
  。"
,,3,,,750300,福利服務," 	1,433 "," 	1,529 ",-	96 ,
,,,1,,750302,仁愛之家自費家民安養," 	1,433 "," 	1,529 ",-	96 ,"本年度預算數1,433千元，較
上年度減列太陽能集熱板經費
96千元。"
,10,,,08010,,兒童福利服務中心," 	43,163 "," 	43,574 ",-	411 ,
,,1,,,750100,一般行政," 	24,266 "," 	24,484 ",-	218 ,
,,,1,,750101,行政管理," 	24,266 "," 	24,484 ",-	218 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費20,141千元，較
  上年度核實減列人事費147
  千元。  
2.基本行政工作維持費4,125
  千元，較上年度減列辦公用
  水電及電腦網頁維護費等經
  費71千元。"
,,2,,,750300,福利服務," 	18,897 "," 	19,090 ",-	193 ,
,,,1,,750301,兒童福利服務," 	18,897 "," 	19,090 ",-	193 ,"本年度預算數較上年度減列
193千元，包括：
1.兒福業務推廣5,376千元，
  較上年度增列辦理各項有益
  兒童心智發展活動之講師鐘
  點費及志願服務等相關經費
  50千元。
2.推廣早期療育13,521千元，
  較上年度減列辦理發展遲緩
  兒童早期療育業務會議、個
  案研討等經費及早期療育補
  助費243千元。"
,11,,,08011,,無障礙之家," 	76,942 "," 	75,503 "," 	1,439 ",
,,1,,,750100,一般行政," 	55,527 "," 	54,088 "," 	1,439 ",
,,,1,,750101,行政管理," 	55,527 "," 	54,088 "," 	1,439 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費49,532千元，較
　上年度核實增列人事費
  1,451千元。
2.基本行政工作維持費5,995
  千元，較上年度減列公務車
  租金及購置個人電腦等經費
  12千元。"
,,2,,,750200,福利服務," 	21,415 "," 	21,415 ", 	-00 ,
,,,1,,750202,家民教養," 	21,415 "," 	21,415 ", 	-00 ,"本年度預算數21,415千元，係
辦理身心障礙者照顧服務等經
費，與上年度同。"
,12,,,08012,,長青綜合服務中心," 	88,208 "," 	86,303 "," 	1,905 ",
,,1,,,750100,一般行政," 	19,258 "," 	18,870 ", 	388 ,
,,,1,,750101,行政管理," 	19,258 "," 	18,870 ", 	388 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費18,799千元，較
  上年度核實增列人事費388
  千元。
2.基本行政工作維持費459千元
  與上年度同。"
,,2,,,750200,福利服務," 	68,950 "," 	67,433 "," 	1,517 ",
,,,1,,750202,加強老人育樂及照顧服務," 	68,950 "," 	67,433 "," 	1,517 ","本年度預算數較上年度增列
1,517千元，包括：
1.新增設置中央空調系統冰水
  水質處理及除、防鏽系統工
  程472千元。
2.老人保護安置費4,917千元，
  較上年度增列2,296千元。
3.補助里辦公處辦理社區照顧
  關懷據點計畫(含設施設備)
  1,411千元，較上年度增列
  284千元。
4.辦理社區照顧關懷據點計畫
  及補助據點評鑑優等等單位
  獎勵金8,025千元，較上年
  度增列217千元。
5.補助社福團體辦理我國長期
  照顧十年計畫日間照顧服務
  費8,843千元，較上年度減
  列1,692千元。
6.上年度購置飲水機及無線擴
  音機，預算業已編竣，所列
  60千元如數減列。"
,13,,,08013,,家庭暴力及性侵害防治中心," 	132,508 "," 	119,260 "," 	13,248 ",
,,1,,,750100,一般行政," 	83,394 "," 	71,566 "," 	11,828 ",
,,,1,,750101,行政管理," 	79,062 "," 	67,234 "," 	11,828 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費78,231千元，較
　上年度核實增列人事費
　11,805千元。
2.基本行政工作維持費831千
　元，較上年度增列購置公務
　電腦等經費23千元。"
,,,2,,750102,業務管理," 	4,332 "," 	4,332 ", 	-00 ,"本年度預算數4,332千元，係
基本辦公行政工作維持經費，
與上年度同。"
,,2,,,750200,福利服務," 	49,114 "," 	47,694 "," 	1,420 ",
,,,1,,750201,家庭暴力及性侵害防治業務," 	24,793 "," 	23,373 "," 	1,420 ","本年度預算數較上年度增列
1,420千元，包括：
1.家庭暴力防治業務17,232千
　元，較上年度增列高雄市原
　鄉家庭暴力防治三年計畫
　1,500千元。
2.性侵防治業務7,561千元，
　較上年度新增性侵害防治預
　防教育推廣方案計畫220千
　元及減列擴大專業團隊早期
　鑑定模式三年實施計畫300
　千元。"
,,,3,,750203,兒童及少年保護服務業務," 	24,321 "," 	24,321 ", 	-00 ,"本年度預算數24,321千元，係
辦理兒童及少年保護業務經費
，與上年度同。"
