高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,,1,,831501,市債經理," 	12,568 "," 	16,771 ","-	4,203 ","本年度預算數12,568千元，較
上年度減列公債發行及還本付
息手續費等經費4,203千元。"
,,10,,,820600,債務付息," 	2,104,203 "," 	2,100,000 "," 	4,203 ",
,,,1,,820601,債務付息," 	2,104,203 "," 	2,100,000 "," 	4,203 ","本年度預算數2,104,203千元
，較上年度增列債務付息
4,203千元。"
,,11,,,600700,集中支付及市庫現金管理," 	20,099 "," 	20,120 ",-	21 ,
,,,1,,600701,集中支付及市庫現金管理," 	20,099 "," 	20,120 ",-	21 ,"本年度預算數20,099千元，較
上年度減列文具用品等經費21
千元。"
,,12,,,717800,非營業基金," 	123,907 "," 	207,138 ","-	83,231 ",
,,,2,,717801,高雄市市有財產開發基金," 	123,907 "," 	207,138 ","-	83,231 ","本年度預算數較上年度減列
83,231千元，包括：
1.市有土地及建物作價投資高
  雄市市有財產開發基金
  123,907千元，較上年度減
  列76,191千元。
2.上年度促參案件獎勵金補助
  高雄市市有財產開發基金，
  預算業已編竣，所列7,040
  千元如數減列。"
,,17,,,604000,預備金, 	233 , 	233 , 	-00 ,
,,,1,,604001,第一預備金, 	233 , 	233 , 	-00 ,仍照上年度預算數編列。
,5,,,04005,,高雄市稅捐稽徵處," 	753,454 "," 	750,107 "," 	3,347 ",
,,1,,,600100,一般行政," 	613,329 "," 	605,825 "," 	7,504 ",
,,,1,,600101,行政管理," 	613,329 "," 	605,825 "," 	7,504 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費559,411千元，
  較上年度核實減列人事費
  6,547千元。
2.基本行政工作維持費
  53,918千元，較上年度增列
  設立分處及汰換空調主機等
  經費14,051千元。"
,,2,,,600200,稅捐稽徵業務," 	96,020 "," 	98,875 ","-	2,855 ",
,,,1,,600201,納稅服務," 	3,029 "," 	3,029 ", 	-00 ,"本年度預算數3,029千元，係辦
理納稅服務及宣導等經費，與
上年度同。"
,,,2,,600202,財產稅稽徵," 	48,370 "," 	49,822 ","-	1,452 ","本年度預算數較上年度減列
1,452千元，包括：
1.房屋稅稽徵25,087千元，較
  上年度增列委外開徵繳款書
  及催繳等經費393千元。
2.土地稅稽徵23,283千元，較
  上年度減列通訊費及臨時人
  員酬金等經費1,845千元。"
,,,3,,600203,消費稅稽徵," 	44,621 "," 	46,024 ","-	1,403 ","本年度預算數較上年度減列
1,403千元，包括：
1.臨時人員酬金3,674千元，因
  應基本工資調漲，較上年度
  增列143千元。
2.委外開徵繳款書及催繳等經
  費9,359千元，較上年度增列
  346千元。
3.使用牌照稅委託代徵手續費
  29,380千元，較上年度減列
  1,245千元。
4.娛樂稅代徵獎勵金2,050千元
  ，較上年度減列74千元。
5.上年度辦理3代監理系統作業
  設備費，預算業已編竣，所
  列573千元如數減列。"
,,3,,,600300,稅務管理," 	44,105 "," 	45,407 ","-	1,302 ",
,,,1,,600301,稅務管理," 	22,690 "," 	22,299 ", 	391 ,"本年度預算數較上年度增列
391千元，包括：
1.配合行政執行案件辦理土地
  建物拍賣及行政等作業經費
  2,020千元，較上年度增列
  367千元。
2.臨時人員酬金2,824千元，因
  應基本工資調漲，較上年度
  增列108千元。
3.委外催欠、移送及查欠等作
  業經費8,341千元，較上年度
  增列191千元。
4.多元化繳稅管道經費
  8,703千元，較上年度減列
  275千元。"
,,,2,,600302,電子作業," 	19,053 "," 	20,746 ","-	1,693 ","本年度預算數較上年度減列
1,693千元，包括：
1.地方稅資訊平台連線及設備
  維護等經費13,960千元，較
  上年度減列913千元。
2.資訊軟硬體設備費1,995千元
  ，較上年度減列780千元。"
,,,3,,600303,違章及行政救濟," 	2,362 "," 	2,362 ", 	-00 ,"本年度預算數2,362千元，係辦
理審理違章案件及行政救濟經
費，與上年度同。"
