高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,,,,,,,,,"9.高雄(第五期).臨海(第二期)
  .楠梓(第一期)污水下水道系
  統建設計畫712,421千元。
10.鳳山鳥松系統、大樹系統、
　 旗美系統及岡山橋頭污水工
　 程1,206,808千元。
11.楠梓污水下水道系統BOT案
   專案管理服務技術案(第三
   期)7,500千元。
12.楠梓污水下水道系統BOT案
   專案管理服務技術案(第四
   期)6,500千元。
13.高雄市愛河支流民生大排等
   雨水箱涵之污水截流工程
   49,834千元。
14.本市污水下水道系統應急費
　 8,560千元。"
,,4,,,686100,水利工程," 	1,576,675 "," 	3,119,724 ","-	1,543,049 ",
,,,1,,686101,排水防洪," 	1,260,803 "," 	2,702,482 ","-	1,441,679 ","本年度編列項目如下：
1.全市排水興建工程135,000
  千元。
2.四十期愛河小Ｋ幹線改建箱
  涵工程1,280千元。 
3.愛河河堤整建工程(Ｋ幹線
  出口至Ｄ幹線出口段)
  2,782千元。 
4.水利工程規劃設計費
  17,640千元。 
5.高屏溪流域(荖濃溪)疏濬作
  業90,000千元。 
6.雨水下水道檢討規劃及新建
  工程10,959千元。 
7.高雄新市鎮第一期發展區內
  雨水下水道修繕暨維護工程
  (雨水)2,018千元。 
8.高雄市中小排水水利設施
  新建(含災修重建)計畫
  63,000千元。
9.水利建造物檢查費1,120千元
  。"
,,,,,,,,,,"10.旗山區中南大排、清水排水
   暨內湖巷護岸改善工程
   3,875千元。
11.杉林區月光山段254地號暨
   六龜區西勢坑溪護岸改善工
   程3,710千元。
12.流域綜合治理計畫-雨水下
   水道規劃22,800千元。
13.高雄市道路側溝水利設施
   新建及維護計畫36,000千元
   。
14.台泥廠區明渠及滯洪池工程
   61,462千元。
15.道路側溝養護工程9,000
   千元。
16.本市水利工程用地取得
   39,647千元。
17.流域綜合治理計畫104年度
   應急工程72,540千元。
18.楠梓區右昌元帥廟舊部落排
   水改善工程1,000千元。
19.楠梓區藍昌路排水幹線改善
   工程11,700千元。"
,,,,,,,,,,"20.高雄市雨水下水道與市區中
   小排水基本資料建置及檢討
   規劃3,700千元。
21.流域綜合治理計畫-非工程
   措施10,200千元。
22.石螺潭排水設置抽水站工
   程25,000千元。
23.鳳山圳滯洪池461,903千元
   。
24.高雄市林園區汕尾排水抽
   水站新建工程5,000千元。
25.筆秀排水整治工程(第一期)
   －筆秀橋改建工程6,000千
   元。
26.典寶溪C區滯洪池暨排水整
   治計畫─石螺潭排水整治
   一期28,000千元。
27.永安排水下游及北溝中游
   段護岸新建工程14,071千
   元。
28.後勁溪後續排水改善工程
   60,962千元。"
,,,,,,,,,,"29.岡山區宏中街(高16線)跨
   越五甲尾排水之無名橋改
   建工程12,066千元。
30.排水防洪設施維護及應急
   工程48,368千元。 "
,,,2,,686102,溝渠及防洪設施維護," 	243,872 "," 	321,542 ","-	77,670 ","本年度編列項目如下：
1.全市雨水下水道系統維護工
  程37,545千元。
2.全市污水下水道系統維護工
  程43,200千元。 
3.河海堤防維護及河川清疏
  20,042千元。  
4.高雄市區域排水清疏及設施
  維護54,000千元。 
5.雨水下水道維護清疏工程
  13,312千元。 
6.全市中小型移動式抽水機維
  護管理工程5,600千元。 
7.全市污水下水道系統檢視及
  修繕工程45,000千元。 
8.高雄市截流抽水站設備更新
  工程14,000千元。
9.溝渠維護及緊急搶修工程
   11,173千元。"
,,,3,,686103,水土保持," 	72,000 "," 	95,700 ","-	23,700 ","本年度編列加強山坡地水土保
持計畫72,000千元。"
,,10,,,794000,預備金, 	326 , 	326 , 	-00 ,
,,,4,,794001,第一預備金, 	326 , 	326 , 	-00 ,仍照上年度預算數編列。
