高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,,4,,680204,畜產推廣," 	5,789 "," 	7,149 ","-	1,360 ","本年度預算數較上年度減列
1,360千元，包括：
1.新增家畜產業永續經營64千
  元。
2.新增強化畜牧場汙泥清理再
  利用450千元。
3.新增減少畜牧廢水排放量因
  應水污費徵收衝擊1,050千
  元。
4.新增強化畜禽糞管理及再利
  用230千元。
5.其他業務運作經費2,994千
  元，較上年度減列補助本市
  畜牧場購置固液分離機及汙
  染防治相關設施等經費
  2,438千元。
6.上年度辦理提升芻料品質及
  產量計畫、輔導生產優質禽
  畜糞堆肥計畫、強化屠宰場
  汙染防治及再利用計畫，預
  算業已編竣，所列716千元
  如數減列。
"
,,,5,,680205,農會及合作事業輔導," 	6,061 "," 	6,641 ",-	580 ,"本年度預算數較上年度減列
580千元，包括：
1.一般業務4,597千元，較上
  年度減列補助農民團體會務
  推廣、辦公廳舍整建所需設
  備(設施)等經費294千元。
2.其他業務運作經費1,464千
  元，較上年度減列補助各區
  輔導單位辦理計畫所需郵電
  、會議餐點及國內旅費等經
  費286千元。"
,,,6,,680206,農產運銷," 	302,524 "," 	202,452 "," 	100,072 ","本年度預算數較上年度增列
100,072千元，包括：
1.一般業務194,455千元，較
  上年度增列補助「高雄市農
  業發展基金」等經費14,930
  千元。
2.有機農糧產品及加工品檢查
  及檢驗972千元，較上年度
  增列僱用臨時人員等經費
  503千元。
3.批發市場管理102,897千元，
  較上年度增列高雄果菜市場
  擴建工程等經費87,755千元
  。
4.重大行銷推廣4,200千元，
  較上年度減列鳳荔行銷推廣
  計畫等經費1,800千元。
5.上年度辦理高雄花卉批發市
  場分貨處理場通風散熱改善
  計畫，預算業已編竣，所列
  1,316千元如數減列。
"
,,5,,,750100,福利服務," 	1,276,800 "," 	1,308,000 ","-	31,200 ",
,,,1,,750101,農民福利服務," 	1,276,800 "," 	1,308,000 ","-	31,200 ","本年度預算數1,276,800千元
，較上年度減列老年農民福利
津貼經費31,200千元。"
,,6,,,730100,社會保險," 	103,936 "," 	110,303 ","-	6,367 ",
,,,1,,730101,社會保險," 	103,936 "," 	110,303 ","-	6,367 ","本年度預算數103,936千元，
較上年度減列農民保險
6,367千元。"
,,10,,,684000,預備金, 	320 , 	320 , 	-00 ,
,,,1,,684001,第一預備金, 	320 , 	320 , 	-00 ,仍照上年度預算數編列。
,2,,,15002,,動物保護處," 	153,668 "," 	150,187 "," 	3,481 ",
,,1,,,680100,一般行政," 	58,814 "," 	56,689 "," 	2,125 ",
,,,1,,680101,行政管理," 	58,814 "," 	56,689 "," 	2,125 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費52,471千元，較
  上年度核實增列人事費982
  千元。
2.基本行政工作維持費6,343
  千元，較上年度增列辦公室
  油漆粉刷及汰換冷氣設備等
  1,143千元。"
,,2,,,680200,動物保護與防疫," 	94,854 "," 	93,498 "," 	1,356 ",
,,,1,,680201,動物疾病檢驗, 	878 , 	746 , 	132 ,"本年度預算數較上年度增列
132千元，包括：
1.動物疾病檢驗628千元，較
  上年度增列汰換顯微鏡、核
  酸複製儀等經費197千元。
2.水產動物疾病防治計畫250
  千元，較上年度減列按日按
  件計資酬金等經費65千元。"
,,,2,,680202,獸醫行政管理, 	390 , 	430 ,-	40 ,"本年度預算數390千元，較上
年度減列按日按件計資酬金及
防疫耗材等經費40千元。"
,,,3,,680203,動物防疫," 	23,298 "," 	6,857 "," 	16,441 ","本年度預算數較上年度增列
16,441千元，包括：
1.新增高病原性禽流感撲殺補
  償及防疫處置計畫15,229千
  元。
2.人畜共通之動物傳染病防治
  計畫3,372千元，較上年度
  增列按日按件計資酬金及購
  買試劑、材料等經費1,920
  千元。
3.豬隻口蹄疫防疫階段策略之
  強化工作2,461千元，較上
  年度增列材料費及檢測車輛
  油料等經費433千元。
4.其他業務運作經費1,818千
  元，較上年度減列按日按件
  計資酬金及防疫材料等經費
  437千元。
5.上年度辦理草食性動物口蹄
  疫等重要疾病防治計畫，預
  算數業已編竣，所列704千
  元如數減列。"
,,,4,,680204,動物保護," 	13,249 "," 	11,152 "," 	2,097 ","本年度預算數較上年度增列
2,097千元，包括：
1.提升動物保護行政效能計畫
  6,465千元，較上年度增列
  專任助理薪資、補助動保團
  體絕育推廣及委辦等經費
  2,067千元。
2.寵物及野生動物疾病防治計
  畫300千元，較上年度增列
  按日按件計資酬金及消耗物
  品等經費10千元。
3.動物保護業務6,411千元，
  較上年度增列加班費20千元
  。"
,,,5,,680205,動物收容管理," 	57,039 "," 	74,313 ","-	17,274 ","本年度預算數較上年度減列
17,274千元，包括：
1.流浪犬管制計畫14,196千元
  ，較上年度增列流浪犬貓救
  援等經費4,447千元。
2.改善政府動物收容設施計畫
  33,488千元，較上年度減列
  燕巢動保園區工程等經費
  14,132千元。
3.動物收容管理9,355千元，
  較上年度減列臨時人員酬金
  、燕巢動保園區工程、醫務
  室器材設備等經費7,589千
  元。"
