高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,,1,,700101,行政管理," 	158,505 "," 	161,245 ","-	2,740 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費157,042千元，
  較上年度核實減列人事費
  2,894千元。
2.基本行政工作維持費1,463
  千元，較上年度增列運輸設
  備及慰問金等經費154千元
  。"
,,,2,,700102,業務管理," 	1,288 "," 	1,499 ",-	211 ,"本年度預算數較上年度減列
211千元，包括：
1.總務管理經費1,263千元，
  較上年度減列資訊設備費等
  經費210千元。
2.政風業務經費8千元，較上
  年度減列通訊費等經費1千
  元。"
,,7,,,707400,道路橋梁廣場地景工程," 	2,589,120 "," 	1,420,923 "," 	1,168,197 ",
,,,1,,707401,新建道路橋梁廣場地景," 	2,589,120 "," 	1,420,923 "," 	1,168,197 ","本年度預算數較上年度增列
1,168,197千元，包括：
一、工程業務32,545千元，
    較上年度增列土地租金
    等經費21,853千元。
二、設備及投資2,556,575千
    元，較上年度增列
    1,146,344千元，本年度
    編列項目如下：
1.田寮高138道路拓寬工程
  13,000千元。
2.路竹區高11線拓寬工程
  295,571千元。
3.永安區保興二路拓寬工程（
  第二期）57,400千元。
4.岡山區致遠路第一期拓寬工
  程25,472千元。
5.岡山區致遠路第二期拓寬工
  程19,716千元。
6.岡山區縣道186本工環東路
  至河華路拓寬工程487,776
  千元。"
,,,,,,,,,,"7.岡山交流道匝道附近之縣道
  186線拓寬工程23,788千元
  。
8.阿公店溪中庄堤防涵管橋改
  建工程28,515千元。
9.阿公店溪嘉興護岸無名橋(
  原農路橋)改建工程25,897
  千元。
10.燕巢區高38線3K+750~3K+
   860道路拓寬工程3,900千
   元。
11.彌陀區文安橋改建工程
   21,000千元。
12.彌陀區海尾橋改建工程
   19,000千元。
13.彌陀區中正路1巷道路拓寬
   工程9,000千元。
14.橋頭區高36-2線甲樹路道
   路拓寬工程（1k+100~2k+
   900）181,367千元。"
,,,,,,,,,,"15.楠梓加工出口區第二園區
   東側道路開闢工程
   37,500千元。
16.楠梓陸橋交流道整地工程
   6,336千元。
17.左營區25期聯外道路辛亥
   路開闢工程304千元。
18.25期明華路末段道路開闢
   工程304千元。
19.高雄市仁武區八德二路拓
   寬工程（穿越中山高車行
   橋涵）107,000千元。
20.高雄市仁武區八德西路拓
   寬工程7,987千元。
21.鳥松長春路開闢工程（第
   一期）5,000千元。
22.鹽埕公園二路至大義街道
   路開闢工程610千元。"
,,,,,,,,,,"23.本市三民區18期市地重劃
   聯外道路開闢工程304千元
   。
24.三民區36期金山路（180-
   190號）開闢工程304千元
   。
25.鳳山區高速公路（三多一
   路至輜汽路）東側側車道
   工程18,012千元。
26.前鎮區高雄臨港線鐵道旁
  （中山三路~瑞田街）道路
   改善工程252,200千元。
27.小港區五甲交流道2-3號
   道路開闢工程304千元。
28.林園清水岩寺至台17線道
   路開闢工程3,914千元。
29.林園汕尾北汕二路拓寬工
   程（大坪頂以東13-3、16
   號道路）223,340千元。
30.林園石化三路開闢工程
   116,414千元。
31.大寮和發產業園區聯外道
   路開闢工程150,470千元"
,,,,,,,,,,"32.國道十號燕巢交流道延伸
   高46線銜接186甲道路工程
   (典寶溪橋)150,000千元。
33.台鐵捷運化－高雄市區鐵
   路地下化計畫園道用地開
   闢工程30,000千元。
34.高雄市轄區道路工程
   8,992千元。
35.重要經建工程先期作業費
   7,570千元。"
,,,,,,,,,,"36.牴觸物拆除樹木移植及廢
   棄物清運784千元。
37.新建道路標誌標線及交通
   號誌工程4,500千元。
38.本市新建道路桿管線工程
   費310千元。
39.營建工程空氣污染防制費
   264千元。
40.本市公共建設配合款
   45,341千元。
41.配合本市市政建設道路橋
   梁廣場地景工程
   167,109千元。"
,4,,,07004,,養護工程處," 	3,189,317 "," 	2,845,670 "," 	343,647 ",
,,1,,,700100,一般行政," 	466,724 "," 	457,164 "," 	9,560 ",
,,,1,,700101,行政管理," 	409,923 "," 	397,770 "," 	12,153 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費407,928千元，
  較上年度核實增列人事費
  12,153千元。
2.基本行政工作維持費1,995
  千元與上年度同。"
,,,2,,700102,業務管理," 	56,801 "," 	59,394 ","-	2,593 ","本年度預算數56,801千元，較
上年度減列一般業務經費
2,593千元。"
,,3,,,700400,維護保養廠管理," 	6,007 "," 	6,007 ",-	0 ,
,,,1,,700401,機械車輛保養廠管理, 	313 , 	313 , 	-00 ,"本年度預算數313千元，係辦
理工程機械車輛機具之養護經
費，與上年度同。"
,,,2,,700402,拌合場管理," 	5,694 "," 	5,694 ",-	0 ,"本年度預算數5,694千元，係
辦理熱拌瀝青拌合廠之操作、
維護及營運經費，與上年度同
。"
,,4,,,700500,公共設施養護," 	721,485 "," 	566,130 "," 	155,355 ",
,,,1,,700501,道路橋梁養護及災害搶修," 	2,550 "," 	2,550 ", 	-00 ,"本年度預算數2,550千元，係
辦理本市道路橋梁、涵洞、駁
坎之維護經費，與上年度同。"
,,,3,,700503,路燈裝護," 	509,726 "," 	361,361 "," 	148,365 ","本年度預算數509,726千元，
較上年度增列水電費經費
148,365千元。"
,,,5,,700505,公園綠地道路公共設施維護," 	209,209 "," 	202,219 "," 	6,990 ","本年度預算數較上年度增列
6,990千元，包括：
1.新增高雄新市鎮綜合示範社
  區既埋垃圾清除及整地工程
  公共設施維護管理計畫經費
  4,459千元。
2.新增國家重要濕地保育行動
  計畫經費2,870千元。
3.新增中央公園清潔維護經費
  2,490千元。
4.高雄新市鎮第1期發展區綜
  合示範區植栽等行道樹管理
  維護計畫經費4,247千元，
  較上年度減列2,437千元。
5.公園清潔維護臨時人員酬金
  經費14,271千元，較上年度
  減列392千元。"
,,12,,,707300,公共建設," 	1,995,101 "," 	1,816,369 "," 	178,732 ",
,,,1,,707301,公共設施改善工程," 	1,995,101 "," 	1,816,369 "," 	178,732 ","本年度編列項目如下：
1.高雄市臨港線(翠亨南、北
  路旁)自行車道工程4,025
  千元。
2.鳳山區府前路人行環境及景
  觀改善工程7,200千元。
3.苓雅區建軍路人行環境及景
  觀改善工程8,470千元。
4.三多路(和平至凱旋路)人行
  環境及景觀改善工程7,340
  千元。
5.林園區及其周邊聯外道路改
  善工程12,655千元。
6.大業路人行道改善工程
  10,000千元。
7.林園區大安翡翠2號公園改
  造工程8,000千元。
8.小港區華立公園改造工程
  924千元。"
,,,,,,,,,,"9.左營區富國公園景觀改造工
  程3,850千元。
10.水銀路燈落日計畫551,114
   千元。
11.高雄市人行道普查計畫
   1,540千元。
12.104年度林園等7區公共設
   施及景觀改善工程(發電協
   助金)42,757千元。
13.104年度中央公園維護工作
   2,580千元。
14.各區道路路燈公園廣場照
   明及電器設備零星增設及
   改善工程27,000千元。
15.全市道路及橋梁照明景觀
   改善工程28,000千元。
16.配合台電公司線路地下化
   改善路燈工程13,000千元
   。
17.市區路街巷路(園)燈維護
   工程6,000千元。 
18.重要道路及橋梁等公共設
   施改善工程先期作業費
   4,000千元。"
,,,,,,,,,,"19.道路交通安全改善工程
   222,575千元。
20.本市道路緊急搶修、養護
   、巡查及刨鋪等工程
   132,000千元。
21.全市道路及附屬設施改善
   工程164,500千元。
22.道路橋隧人行道等公共設
   施維護工程52,998千元。
23.人行道改善工程18,000千
   元。
24.社區通學道工程15,000千
   元。
25.路街巷牌增設工程3,500千
   元。
26.人行鋪面及自行車道巡查
   維護工程5,000千元。"
,,,,,,,,,,"27.自行車道建置工程4,000千
   元。.全市公園、綠地、兒童
   遊戲場、道路綠化工程
   41,000千元。 
29.全市公園、綠地、兒童遊
   戲場、道路綠美化維護及
   樹木修剪工作23,000千元
   。 
30.全市公園、綠地、道路綠
   美化先期作業費1,000千元
   。 
31.空地綠美化工程24,000千
   元。 
32.現有公園設施改善工程
   98,000千元。 
33.重要公園綠地開闢及公共
   設施工程先期作業費
   8,362千元。
34.茄萣區公兒1-4開闢工程
   7,040千元。
35.阿蓮區公兒3開闢工程
   15,732千元。"
,,,,,,,,,,"36.大寮區公兒4-3開闢工程
   14,347千元。
37.大社區公兒4開闢工程
   37,092千元。
38.梓官區兒2開闢工程
   20,514千元。
39.彌陀區彌陀公園(公1)開闢
   工程25,691千元。
40.三民區覆鼎金公墓變更之
   公園用地綠美化工程
   5,000千元。
41.阿公店水庫週邊景觀改善
   工程(第3期)20,390千元。
42.林園區公11開闢工程(第3
   期)12,125千元。
43.灣子內05公05開闢工程(第
   13期)54,858千元。 
44.二苓11公01開闢工程(第9
   期)41,950千元。 
45.苓雅01公20開闢工程(第
   13期)22,856千元。 "
,,,,,,,,,,"46.公園綠地開闢工程拆除及
   廢棄物清運5,600千元。
47.營建工程空氣污染防制費
   1,000千元。
48.本市各區公共設施及景觀
   改善工程92,000千元。
49.公共設施維護及應急工程
   67,516千元。"
,5,,,07005,,違章建築處理大隊," 	94,019 "," 	84,089 "," 	9,930 ",
,,1,,,770100,一般行政," 	86,601 "," 	76,370 "," 	10,231 ",
,,,1,,770101,行政管理," 	86,601 "," 	76,370 "," 	10,231 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費83,344千元，較
  上年度核實增列人事費
  10,041千元。
2.基本行政工作維持費3,257
  千元，較上年度增列購置個
  人電腦及中階伺服器等經費
  190千元。"
,,2,,,770200,違章拆除業務," 	7,418 "," 	7,719 ",-	301 ,
,,,1,,770201,違章拆除," 	7,418 "," 	7,719 ",-	301 ,"本年度預算數7,418千元，較
上年度減列拆除業務經費301
千元。"
,,,,,,,,,,
,,,,,,,,,,
