高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,,1,,730801,社會保險," 	228,802 "," 	4,194,607 ","-	3,965,805 ","本年度預算數較上年度減列
3,965,805千元，包括：
1.全民健康保險補助149,178
  千元，較上年度減列
  3,006,566千元。
2.勞工保險補助79,624千元，
  較上年度減列959,239千元
  。"
,,14,,,754000,預備金, 	300 , 	300 , 	-00 ,
,,,1,,754001,第一預備金, 	300 , 	300 , 	-00 ,仍照上年度預算數編列。
,3,,,16003,,勞動檢查處," 	95,499 "," 	90,858 "," 	4,641 ",
,,1,,,750100,一般行政," 	86,572 "," 	82,091 "," 	4,481 ",
,,,1,,750101,行政管理," 	83,088 "," 	78,001 "," 	5,087 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費80,789千元，較
  上年度核實增列人事費
  4,957千元。
2.基本行政工作維持費2,299
  千元，較上年度增列空調設
  備養護費及退休人員三節慰
  問金等經費130千元。"
,,,2,,750102,業務管理," 	3,484 "," 	4,090 ",-	606 ,"本年度預算數3,484千元，較
上年度增列水電費457千元，
及減列購置公務車輛等經費
1,063千元。"
,,3,,,750300,勞動檢查," 	8,927 "," 	8,767 ", 	160 ,
,,,1,,750301,勞動條件及勞工安全衛生檢查," 	3,000 "," 	2,800 ", 	200 ,"本年度預算數3,000千元，較
上年度增列赴德國考察管線維
護等國外旅費200千元。"
,,,2,,750302,營造業及危險行業安全衛生檢查," 	1,405 "," 	1,405 ", 	-00 ,"本年度預算數1,405千元，係
辦理勞動檢查、宣導及輔導等
事項，與上年度同。"
,,,3,,750303,特殊危害工作環境檢查," 	1,607 "," 	1,607 ", 	-00 ,"本年度預算數1,607千元，係
辦理勞動檢查、宣導及輔導等
事項，與上年度同。"
,,,4,,750304,特定危險性機械或設備檢查," 	1,463 "," 	1,463 ", 	-00 ,"本年度預算數1,463千元，係
辦理勞動檢查、宣導及輔導等
事項，與上年度同。"
,,,5,,750305,職災預防規劃," 	1,452 "," 	1,492 ",-	40 ,"本年度預算數1,452千元，較
上年度減列赴大陸地區出國考
察旅費40千元。
"
,5,,,16005,,勞工教育生活中心," 	47,321 "," 	66,170 ","-	18,849 ",
,,1,,,750100,一般行政," 	42,690 "," 	61,539 ","-	18,849 ",
,,,1,,750101,行政管理," 	25,642 "," 	25,441 ", 	201 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費25,405千元，較
  上年度核實增列人事費195
  千元。
2.基本行政工作維持費237千
  元，較上年度增列退休人員
  三節慰問金6千元。"
,,,2,,750102,業務管理," 	17,048 "," 	36,098 ","-	19,050 ","本年度預算數較上年度減列
19,050千元，包括：
1.勞工博物館10,301千元，較
  上年度增列文化部補助本中
  心視障工作者研究暨展覽計
  畫等經費100千元。
2.獅甲會館6,747千元，較上
  年度減列房屋稅等經費15千
  元。
3.上年度辦理澄清會館預算業
  已編竣，所列13,555千元如
  數減列。
4.上年度辦理提升就業培力計
  畫預算業已編竣，所列
  5,580千元如數減列。
"
,,3,,,750300,各項活動," 	4,631 "," 	4,631 ", 	-00 ,
,,,1,,750301,推展勞工教育服務," 	2,346 "," 	2,346 ", 	-00 ,"本年度預算數2,346千元，係
辦理勞工教育諮詢服務及休閒
等各項服務經費，與上年度同
。"
,,,2,,750302,推展勞工技藝研習活動," 	2,285 "," 	2,285 ", 	-00 ,"本年度預算數2,285千元，係
辦理增進勞工各項技藝研習等
各項經費，與上年度同。"
,6,,,16006,,訓練就業中心," 	71,632 "," 	78,914 ","-	7,282 ",
,,1,,,760100,一般行政," 	54,027 "," 	54,865 ",-	838 ,
,,,1,,760101,行政管理," 	48,042 "," 	49,996 ","-	1,954 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費47,296千元，較
  上年度核實減列人事費
  1,954千元。
2.基本行政工作維持費746千
  元與上年度同。"
,,,2,,760102,業務管理," 	5,985 "," 	4,869 "," 	1,116 ","本年度預算數較上年度增列
1,116千元，包括：
1.一般業務5,664千元，較上
  年度增列鳳山、岡山就業站
  業務、消防水電、資訊軟硬
  體等經費1,042千元。
2.政風業務154千元，較上年
  度增列安全維護使用即時數
  位監控系統設備100千元。
3.會計業務50千元，較上年度
  減列打孔機26千元。"
,,2,,,760200,職業訓練," 	12,492 "," 	20,038 ","-	7,546 ",
,,,1,,760201,訓練業務," 	12,184 "," 	19,665 ","-	7,481 ","本年度預算數12,184千元，較
上年度減列職訓場域訓練器材
設備7,481千元。"
,,,3,,760203,學員輔導與職訓, 	308 , 	373 ,-	65 ,"本年度預算數308千元，較上
年度減列職業訓練及徵才業務
使用落地式LCD廣告數位看板
65千元。"
,,3,,,760300,國民就業輔導," 	5,113 "," 	4,011 "," 	1,102 ",
,,,1,,760301,就業輔導," 	5,113 "," 	4,011 "," 	1,102 ","本年度預算數5,113千元，較
上年度增列毒品個案行動就業
服務等經費1,102千元。"
,7,,,16007,,博愛職業技能訓練中心," 	23,933 "," 	24,678 ",-	745 ,
,,1,,,760100,一般行政," 	15,517 "," 	17,062 ","-	1,545 ",
,,,1,,760101,行政管理," 	15,517 "," 	17,062 ","-	1,545 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費13,008千元，較
  上年度核實減列人事費
  1,824千元。
2.基本行政工作維持費2,509
  千元，較上年度增列租車費
  、設施養護費等經費279千
  元。"
,,2,,,760200,身心障礙職業訓練與重建," 	8,416 "," 	7,616 ", 	800 ,
,,,1,,760201,訓練與輔導," 	8,416 "," 	7,616 ", 	800 ,"本年度預算數8,416千元，較
上年度增列出國參賽旅費、身
障職業重建服務整合系統、學
員勞保費等經費800千元。"
