高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,1,,,580100,一般行政," 	130,948 "," 	129,688 "," 	1,260 ",
,,,1,,580101,行政管理," 	130,190 "," 	128,975 "," 	1,215 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費127,788千元，
  較上年度核實增列人事費
  968千元。
2.基本行政工作維持費2,402
  千元，較上年度增列車輛相
  關費用及退休人員三節慰問
  金等經費247千元。"
,,,2,,580102,業務管理, 	758 , 	713 , 	45 ,"本年度預算數758千元，較上
年度增列臨時人員酬金等經費
45千元。"
,,2,,,580200,土地開發業務," 	124,873 "," 	161,250 ","-	36,377 ",
,,,1,,580201,開發區勘選考工及基金管理," 	13,498 "," 	13,437 ", 	61 ,"本年度預算數13,498千元，較
上年度增列臨時人員酬金及國
內旅費等經費61千元。"
,,,3,,580203,土地查估及配地作業, 	50 , 	36 , 	14 ,"本年度預算數50千元，較上年
度增列一般事務費等經費14千
元。"
,,,4,,580204,土地處分及差額地價業務, 	84 , 	80 , 	4 ,"本年度預算數84千元，較上年
度增列國內旅費等經費20千元
，及減列加班費16千元。"
,,,5,,580205,農地重劃及農村社區土地重劃業務," 	111,241 "," 	147,697 ","-	36,456 ","本年度預算數較上年度預算數
減列36,456千元，包括：
1.一般業務29,117千元，較上
  年度減列美濃區吉安農地重
  劃區農水路相關費用及標售
  業務等經費28,458千元。
2.農水路維護業務82,124千元
  ，較上年度減列7,998千元。"
,,3,,,580300,地籍測量業務," 	11,794 "," 	12,316 ",-	522 ,
,,,1,,580301,地籍圖重測及開發地區地籍測量," 	11,794 "," 	12,316 ",-	522 ,"本年度預算數11,794千元，較
上年度增列一般測量業務185
千元，及減列地籍圖重測707
千元。"
,,4,,,580400,債務付息," 	31,500 "," 	31,500 ", 	-00 ,
,,,1,,580401,債務付息," 	31,500 "," 	31,500 ", 	-00 ,"本年度預算數31,500千元，係
高坪特定區開發計畫案貸款利
息，與上年度同。"
,101,,,12101,,鹽埕地政事務所," 	49,701 "," 	50,916 ","-	1,215 ",
,,1,,,580100,一般行政," 	47,004 "," 	47,870 ",-	866 ,
,,,1,,580101,行政管理," 	45,154 "," 	46,020 ",-	866 ,"本年度預算數之內容與上年度
之比較如下:
1.人員維持費43,980千元，較
  上年度核實增列人事費289
  千元。
2.基本行政工作維持費1,174
  千元，較上年度減列設備整
  修工程等經費1,155千元。"
,,,2,,580102,業務管理," 	1,850 "," 	1,850 ", 	-00 ,"本年度預算數1,850千元，係
辦理總務及管理、人事業務、
會計業務及研考業務等經費，
與上年度同。"
,,2,,,582300,地政業務," 	2,697 "," 	3,046 ",-	349 ,
,,,1,,582301,土地建物登記," 	2,001 "," 	2,215 ",-	214 ,"本年度預算數2,001千元，較
上年度減列土地建物所有權狀
及他項權利證明書等經費214
千元。"
,,,2,,582302,土地複丈分割測量, 	424 , 	424 , 	-00 ,"本年度預算數424千元，係辦
理土地複丈分割測量經費，與
上年度同。"
,,,3,,582303,地籍資料及檔案管理, 	119 , 	119 , 	-00 ,"本年度預算數119千元，係辦
理地籍資料及檔案管理經費，
與上年度同。"
,,,5,,582305,土地現值查估編製, 	153 , 	288 ,-	135 ,"本年度預算數153千元，較上
年度減列重新規定地價經費
135千元。"
,102,,,12102,,新興地政事務所," 	53,806 "," 	54,564 ",-	758 ,
,,1,,,580100,一般行政," 	50,151 "," 	50,540 ",-	389 ,
,,,1,,580101,行政管理," 	48,870 "," 	49,125 ",-	255 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費48,004千元與上
  年度同。
2.基本行政工作維持費866千
  元，較上年度減列車輛相關
  經費、一般事務費、號碼出
  號機、電話系統更新等經費
  255千元。"
,,,2,,580102,業務管理," 	1,281 "," 	1,415 ",-	134 ,"本年度預算數1,281千元，較
上年度減列水電費等經費134
千元。"
,,2,,,582300,地政業務," 	3,655 "," 	4,024 ",-	369 ,
,,,1,,582301,土地建物登記," 	3,076 "," 	3,125 ",-	49 ,"本年度預算數3,076千元，較
上年度減列辦理地籍清理及
土地建物登記相關經費49千
元。"
,,,2,,582302,土地複丈分割測量, 	333 , 	368 ,-	35 ,"本年度預算數333千元，較上
年度減列物品、一般事務費、
國內旅費等經費35千元。"
,,,3,,582303,地籍資料及檔案管理, 	121 , 	191 ,-	70 ,"本年度預算數121千元，較上
年度減列其他業務租金、物
品等經費70千元。"
,,,5,,582305,土地現值查估編製, 	125 , 	340 ,-	215 ,"本年度預算數125千元，較上
年度減列重新規定地價業務等
經費215千元。"
,103,,,12103,,前鎮地政事務所," 	56,939 "," 	57,289 ",-	350 ,
,,1,,,580100,一般行政," 	53,886 "," 	53,821 ", 	65 ,
,,,1,,580101,行政管理," 	52,507 "," 	52,392 ", 	115 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費51,806千元，較
  上年核實增列人事費341千
  元。
2.基本行政工作維持費701千
  元，較上年度減列油料、一
  般事務費及桌椅設備等經費
  226千元。"
,,,2,,580102,業務管理," 	1,379 "," 	1,429 ",-	50 ,"本年度預算數1,379千元，較
上年度減列印製表冊等經費
50千元。"
,,2,,,582300,地政業務," 	3,053 "," 	3,468 ",-	415 ,
,,,1,,582301,土地建物登記," 	2,342 "," 	2,537 ",-	195 ,"本年度預算數2,342千元，較
上年度減列辦理地籍清理及土
地建物登記相關經費195千元
。"
,,,2,,582302,土地複丈分割測量, 	478 , 	518 ,-	40 ,"本年度預算數478千元，較上
年度減列物品、一般事務費及
國內旅費等經費40千元。"
,,,3,,582303,地籍資料及檔案管理, 	67 , 	87 ,-	20 ,"本年度預算數67千元，較上年
度減列物品20千元。"
,,,5,,582305,土地現值查估編製, 	166 , 	326 ,-	160 ,"本年度預算數166千元，較上
年度減列重新規定地價業務等
經費160千元。"
,104,,,12104,,楠梓地政事務所," 	56,579 "," 	56,374 ", 	205 ,
,,1,,,580100,一般行政," 	53,173 "," 	52,630 ", 	543 ,
,,,1,,580101,行政管理," 	51,628 "," 	51,070 ", 	558 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費50,435千元，較
  上年度核實增列人事費356
  千元。
2.基本行政工作維持費1,193
  千元，較上年度增列慰問金
  及檔案室庫房設施改善工程
  等經費202千元。 "
,,,2,,580102,業務管理," 	1,545 "," 	1,560 ",-	15 ,"本年度預算數1,545千元，較
上年度減列影印機租金15千元
。"
,,2,,,582300,地政業務," 	3,406 "," 	3,744 ",-	338 ,
,,,1,,582301,土地建物登記," 	2,436 "," 	2,548 ",-	112 ,"本年度預算數2,436千元，較
上年度減列辦理地籍清理及土
地建物登記相關經費112千元
。"
,,,2,,582302,土地複丈分割測量, 	677 , 	687 ,-	10 ,"本年度預算數677千元，較上
年度減列通知書等經費10千元
。"
,,,3,,582303,地籍資料及檔案管理, 	55 , 	55 , 	-00 ,"本年度預算數55千元，係辦理
地籍資料及檔案管理經費，與
上年度同。"
,,,5,,582305,土地現值查估編製, 	238 , 	454 ,-	216 ,"本年度預算數238千元，較上
年度減列重新規定地價業務等
經費216千元。"
,105,,,12105,,三民地政事務所," 	59,117 "," 	61,407 ","-	2,290 ",
,,1,,,580100,一般行政," 	54,795 "," 	56,648 ","-	1,853 ",
,,,1,,580101,行政管理," 	53,336 "," 	55,004 ","-	1,668 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費52,565千元，較
  上年度核實增列人事費336
  千元。
2.基本行政工作維持費771千
  元，較上年度減列廁所及茶
  水間工程等經費2,004千元
  。"
,,,2,,580102,業務管理," 	1,459 "," 	1,644 ",-	185 ,"本年度預算數1,459千元，較
上年度減列通訊費及一般事務
費等經費185千元。"
,,2,,,582300,地政業務," 	4,322 "," 	4,759 ",-	437 ,
,,,1,,582301,土地建物登記," 	3,432 "," 	3,518 ",-	86 ,"本年度預算數3,432千元，較
上年度減列辦理地籍清理及土
地建物登記相關經費86千元。"
,,,2,,582302,土地複丈分割測量, 	453 , 	511 ,-	58 ,"本年度預算數453千元，較上
年度減列物品、一般事務費及
國內旅費等經費58千元。"
,,,3,,582303,地籍資料及檔案管理, 	181 , 	230 ,-	49 ,"本年度預算數181千元，較上
年度減列物品及一般事務費等
經費49千元。"
,,,5,,582305,土地現值查估編製, 	256 , 	500 ,-	244 ,"本年度預算數256千元，較上
年度減列重新規定地價業務等
經費244千元。"
,106,,,12106,,鳳山地政事務所," 	69,300 "," 	87,394 ","-	18,094 ",
,,1,,,580100,一般行政," 	59,572 "," 	77,107 ","-	17,535 ",
,,,1,,580101,行政管理," 	57,062 "," 	74,532 ","-	17,470 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費55,588千元，較
  上年度核實增列人事費356
  千元。
2.基本行政工作維持費1,474
  千元，較上年度減列後棟辦
  公及檔案室整建等經費
  17,826千元。"
,,,2,,580102,業務管理," 	2,510 "," 	2,575 ",-	65 ,"本年度預算數2,510千元，較
上年度減列通訊費及一般事務
費等經費65千元。"
,,2,,,582300,地政業務," 	9,728 "," 	10,287 ",-	559 ,
,,,1,,582301,土地建物登記," 	6,997 "," 	6,929 ", 	68 ,"本年度預算數6,997千元，較
上年度增列辦理土地建物登記
相關經費90千元，及減列地籍
清理22千元。
"
,,,2,,582302,土地複丈分割測量," 	1,275 "," 	1,315 ",-	40 ,"本年度預算數1,275千元，較
上年度增列地籍圖重測50千元
，及減列土地複丈分割測量相
關經費90千元。
"
,,,3,,582303,地籍資料及檔案管理, 	731 , 	736 ,-	5 ,"本年度預算數731千元，較上
年度減列物品及一般事務費5
千元。"
,,,5,,582305,土地現值查估編製, 	725 ," 	1,307 ",-	582 ,"本年度預算數725千元，較上
年度減列重新規定地價業務等
經費582千元。"
,107,,,12107,,岡山地政事務所," 	66,241 "," 	67,223 ",-	982 ,
,,1,,,580100,一般行政," 	58,930 "," 	59,516 ",-	586 ,
,,,1,,580101,行政管理," 	56,935 "," 	57,248 ",-	313 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費55,507千元，較
  上年度核實增列人事費382
  千元。
2.基本行政工作維持費1,428千
  元，較上年度減列汰換空調
  設備等經費695千元。"
,,,2,,580102,業務管理," 	1,995 "," 	2,268 ",-	273 ,"本年度預算數1,995千元，較
上年度減列水電費、通訊費及
一般事務費等經費273千元。"
,,2,,,582300,地政業務," 	7,311 "," 	7,707 ",-	396 ,
,,,1,,582301,土地建物登記," 	3,092 "," 	3,123 ",-	31 ,"本年度預算數3,092千元，較
上年度減列辦理地籍清理及土
地建物登記相關經費31千元。"
,,,2,,582302,土地複丈分割測量," 	2,342 "," 	2,280 ", 	62 ,"本年度預算數2,342千元，較
上年度增列地籍圖重測及土地
複丈分割測量相關經費62千元
。
"
,,,5,,582305,土地現值查估編製," 	1,167 "," 	1,604 ",-	437 ,"本年度預算數1,167千元，較
上年度增列一般業務5千元，
及減列重新規定地價業務經費
442千元。"
,,,6,,582306,非都市土地使用編定, 	710 , 	700 , 	10 ,"本年度預算數710千元，較上
年度增列臨時人員酬金等經費
10千元。"
,108,,,12108,,旗山地政事務所," 	42,462 "," 	60,892 ","-	18,430 ",
,,1,,,580100,一般行政," 	36,235 "," 	54,097 ","-	17,862 ",
,,,1,,580101,行政管理," 	36,235 "," 	54,097 ","-	17,862 ","本年度預算數之內容與上年度
之比較如下:
1.人員維持費31,201千元，較
  上年度核實增列人事費227
  千元。
2.基本行政工作維持費5,034
  千元，較上年度減列辦公廳
  舍整建工程等經費18,089千
  元。"
,,2,,,582300,地政業務," 	6,227 "," 	6,795 ",-	568 ,
,,,1,,582301,土地建物登記," 	4,129 "," 	4,160 ",-	31 ,"本年度預算數4,129千元，較
上年度增列辦理地籍清理4千
元，及減列土地建物登記相關
經費35千元。"
,,,2,,582302,土地複丈分割測量," 	1,320 "," 	1,345 ",-	25 ,"本年度預算數1,320千元，較
上年度增列地籍圖重測50千元
，及減列土地複丈分割測量相
關經費75千元。"
,,,5,,582305,土地現值查估編製, 	778 ," 	1,290 ",-	512 ,"本年度預算數778千元，較上
年度減列重新規定地價業務等
經費512千元。"
,109,,,12109,,路竹地政事務所," 	62,845 "," 	69,946 ","-	7,101 ",
,,1,,,580100,一般行政," 	56,503 "," 	63,039 ","-	6,536 ",
,,,1,,580101,行政管理," 	55,307 "," 	61,734 ","-	6,427 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費53,746千元，
  較上年度核實增列人事費
  351千元。
2.基本行政工作維持費1,561
  千元，較上年度減列3、4樓
  室內裝及戶外設施整修工程
  等經費6,778千元。"
,,,2,,580102,業務管理," 	1,196 "," 	1,305 ",-	109 ,"本年度預算數1,196千元，較
上年度減列水電費109千元。"
,,2,,,582300,地政業務," 	6,342 "," 	6,907 ",-	565 ,
,,,1,,582301,土地建物登記," 	3,374 "," 	3,330 ", 	44 ,"本年度預算數3,374千元，較
上年度增列辦理地籍清理及
土地建物登記相關經費44千
元。"
,,,2,,582302,土地複丈分割測量," 	1,720 "," 	1,720 ", 	-00 ,"本年度預算數1,720千元，係
辦理土地複丈分割測量業務
經費，與上年度同。"
,,,5,,582305,土地現值查估編製, 	869 ," 	1,268 ",-	399 ,"本年度預算數869千元，較上
年度減列重新規定地價業務等
經費399千元。"
,,,6,,582306,非都市土地使用編定, 	379 , 	589 ,-	210 ,"本年度預算數379千元，較上
年度減列檔案建檔掃描委外等
經費210千元。
"
,110,,,12110,,仁武地政事務所," 	59,996 "," 	62,298 ","-	2,302 ",
,,1,,,580100,一般行政," 	54,905 "," 	56,255 ","-	1,350 ",
,,,1,,580101,行政管理," 	53,656 "," 	54,934 ","-	1,278 ","本年度預算數之內容上年度之
比較如下：
1.人員維持費51,258千元，較
  上年度核實增列人事費362
  千元。
2.基本行政工作維持費2,398
  千元，較上年度減列辦公廳
  舍修繕工程等經費1,640
  千元。"
,,,2,,580102,業務管理," 	1,249 "," 	1,321 ",-	72 ,"本年度預算數1,249千元，較
上年度減列一般事務費72千元
。"
,,2,,,582300,地政業務," 	5,091 "," 	6,043 ",-	952 ,
,,,1,,582301,土地建物登記," 	2,888 "," 	2,946 ",-	58 ,"本年度預算數2,888千元，較
上年度減列辦理地籍清理及土
地建物登記相關經費58千元。
"
,,,2,,582302,土地複丈分割測量," 	1,092 "," 	1,599 ",-	507 ,"本年度預算數1,092千元，較
上年度減列通訊費、物品、一
般事務費及國內旅費等經費
507千元。
"
,,,5,,582305,土地現值查估編製, 	687 ," 	1,038 ",-	351 ,"本年度預算數687千元，較上
年度減列重新規定地價業務等
經費351千元。"
,,,6,,582306,非都市土地使用編定, 	424 , 	460 ,-	36 ,"本年度預算數424千元，較上
年度減列通訊費、物品及國內
旅費等經費36千元。"
,111,,,12111,,美濃地政事務所," 	39,386 "," 	41,959 ","-	2,573 ",
,,1,,,580100,一般行政," 	34,526 "," 	36,505 ","-	1,979 ",
,,,1,,580101,行政管理," 	34,526 "," 	36,505 ","-	1,979 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費31,733千元，較
  上年度減列加班費3千元。 
2.基本行政工作維持費2,793
  千元，較上年度減列辦公廳
  舍改善工程等經費1,976千
  元。 "
,,2,,,582300,地政業務," 	4,860 "," 	5,454 ",-	594 ,
,,,1,,582301,土地建物登記," 	2,625 "," 	2,665 ",-	40 ,"本年度預算數2,625千元，較
上年度減列辦理地籍清理及土
地建物登記相關經費40千元。"
,,,2,,582302,土地複丈分割測量," 	1,477 "," 	1,487 ",-	10 ,"本年度預算數1,477千元，較
上年度增列地籍圖重測50千元
，及減列土地複丈分割測量相
關經費60千元。"
,,,5,,582305,土地現值查估編製, 	758 ," 	1,302 ",-	544 ,"本年度預算數758千元，較上
年度減列重新規定地價業務等
經費544千元。"
,112,,,12112,,大寮地政事務所," 	58,506 "," 	59,126 ",-	620 ,
,,1,,,580100,一般行政," 	51,199 "," 	51,080 ", 	119 ,
,,,1,,580101,行政管理," 	49,692 "," 	49,533 ", 	159 ,"本年度預算數之內容與上年度
之比較如下：
1.人員維持費48,395千元，較
  上年度核實增列人事費315
  千元。
2.基本行政工作維持費1,297
  千元，較上年度減列資訊服
  務費及車輛相關經費156千
  元。"
,,,2,,580102,業務管理," 	1,507 "," 	1,547 ",-	40 ,"本年度預算數1,507千元，較
上年度減列通訊費、物品及一
般事務費等經費40千元。"
,,2,,,582300,地政業務," 	7,307 "," 	8,046 ",-	739 ,
,,,1,,582301,土地建物登記," 	5,493 "," 	5,409 ", 	84 ,"本年度預算數5,493千元，較
上年度增列土地建物登記相關
經費95千元，及減列地籍清理
經費11千元。"
,,,2,,582302,土地複丈分割測量, 	950 ," 	1,055 ",-	105 ,"本年度預算數950千元，較上
年度減列通訊費、物品、一般
事務費及國內旅費等經費105
千元。"
,,,5,,582305,土地現值查估編製, 	715 ," 	1,403 ",-	688 ,"本年度預算數715千元，較上
年度減列重新規定地價業務等
經費688千元。"
,,,6,,582306,非都市土地使用編定, 	149 , 	179 ,-	30 ,"本年度預算數149千元，較上
年度減列一般事務費及國內旅
費等經費30千元。"
