高雄市地方總預算,,,,,,,,,,
歲出機關別預算表,,,,,,,,,,
經資門併計,,,,,,,   中華民國105年度,,,單位:新台幣千元
,,4,,,630400,保防業務, 	485 , 	500 ,-	15 ,
,,,3,,630403,保防管理, 	485 , 	500 ,-	15 ,"本年度預算數485千元，較上
年度減列物品設備15千元。"
,,5,,,630500,督察業務," 	15,695 "," 	7,539 "," 	8,156 ",
,,,1,,630501,勤務督察," 	2,842 "," 	2,842 ", 	-00 ,"本年度預算數2,842千元，係
辦理員警服務態度、申訴、傷
殘慰問濟助，各種勤業務督導
考核等經費，與上年度同。"
,,,2,,630502,常年訓練," 	3,143 "," 	3,143 ", 	-00 ,"本年度預算數3,143千元，係
辦理警察教育、訓練、進修及
警察學術倡導等事項經費，與
上年度同。"
,,,3,,630503,勤務指揮," 	9,710 "," 	1,554 "," 	8,156 ","本年度預算數較上年度增列
8,156千元，包括：
1.新增110受理派遣系統話務
  受理系統設備汰換7,500千
  元。
2.新增應用系統伺服器、AD
  伺服器升級629千元。
3.e化勤指錄音系統軟硬體設
  備維護費等1,357千元，較
  上年度增列27千元。"
,,6,,,630600,防治業務," 	5,736 "," 	5,764 ",-	28 ,
,,,2,,630602,戶口組訓管理," 	5,736 "," 	5,764 ",-	28 ,"本年度預算數5,736千元，較
上年度減列雜項設備費28千元
。"
,,8,,,630800,民防業務," 	2,341 "," 	2,243 ", 	98 ,
,,,3,,630803,防情偵察," 	2,341 "," 	2,243 ", 	98 ,"本年度預算數2,341千元，較
上年度新增警報台遷移費用98
千元。"
,,9,,,631400,刑事警察業務," 	4,327 "," 	5,378 ","-	1,051 ",
,,,1,,631401,鑑識工作," 	4,327 "," 	5,378 ","-	1,051 ","本年度預算數4,327千元，較
上年度減列DNA實驗室相關經
費1,051千元。"
,,12,,,631500,警隊業務," 	339,462 "," 	337,203 "," 	2,259 ",
,,,1,,631501,一般行政," 	273,997 "," 	272,647 "," 	1,350 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費272,144千元，
  較上年度核實增列人事費
  1,281千元。
2.基本行政工作維持費1,853
  千元，較上年度增列辦公費
  、國內旅費、退休人員三節
  慰問金等經費69千元。"
,,,2,,631502,婦幼警察業務," 	15,267 "," 	15,124 ", 	143 ,"本年度預算數15,267千元，較
上年度增列超勤加班費等經費
143千元。"
,,,3,,631503,少年警察業務," 	20,247 "," 	20,346 ",-	99 ,"本年度預算數20,247千元，較
上年度新增校園社區反毒相關
經費576千元，及減列超勤加
班費等經費675千元。"
,,,4,,631504,通信業務," 	19,494 "," 	19,079 ", 	415 ,"本年度預算數19,494千元，較
上年度新增射頻雙向放大器、
大崗山及鳳山站台冷氣機718
千元，及減列超勤加班費等經
費303千元。"
,,,5,,631505,捷運警察業務," 	10,457 "," 	10,007 ", 	450 ,"本年度預算數10,457千元，較
上年度增列超勤加班費1,335
千元，及減列本隊遷至左營大
樓搬遷費等經費885千元。"
,,13,,,631200,分局業務," 	6,396,952 "," 	6,304,126 "," 	92,826 ",
,,,1,,631201,一般行政," 	5,314,416 "," 	5,246,709 "," 	67,707 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費5,285,973千元
  ，較上年度核實增列人事費
  67,707千元。
2.基本行政工作維持費28,443
  千元與上年度同。"
,,,2,,631202,各分局業務," 	1,082,536 "," 	1,057,417 "," 	25,119 ","本年度預算數較上年度增列
25,119千元，包括：
1.新增由保安業務-犯罪預防
  業務移撥19,294千元，及市
  府核定增額8,591千元。
2.新增南成所土地使用分區專
  案變更、五福二路派出所廳
  舍復原及中正三所遷移等經
  費6,560千元。
3.其他業務運作維持經費
  1,048,091千元，較上年度減
  列8,336千元。
4.上年度辦理文自所租用民宅
  租金，預算業已編竣，所列
  990千元如數減列。"
,,14,,,631300,大隊業務," 	2,055,666 "," 	2,154,972 ","-	99,306 ",
,,,1,,631301,一般行政," 	1,601,878 "," 	1,703,597 ","-	101,719 ","本年度預算數之內容與上年度
之比較如下：
1.人員維持費1,594,391千元
  ，較上年度核實減列人事費
  101,960千元。
2.基本行政工作維持費7,487
  千元，較上年度增列國內旅
  費、退休人員三節慰問金等
  經費241千元。"
,,,2,,631302,刑警勤務," 	110,813 "," 	104,106 "," 	6,707 ","本年度預算數較上年度增列
6,707千元，包括：
1.水電費、通訊費等相關經費
  7,940千元，較上年度增列
  929千元。
2.偵辦一般刑案工作活動費、
  義刑冬服、物品費、一般事
  務費等相關經費22,699千元
  ，較上年度增列2,444千元
  。  
3.房屋建築及設備費、機械設
  備、資訊軟硬體設備、雜項
  設備等相關經費4,718千元
  ，較上年度增列3,535千元
  。
4.其他業務運作維持經費
  75,456千元，較上年度減列
  201千元。"
,,,5,,631305,保安勤務," 	79,758 "," 	83,467 ","-	3,709 ","本年度預算數79,758千元，較
上年度增列水電費等經費506
千元，及減列超勤加班費與迅
雷中隊辦公廳舍搬遷等經費
4,215千元。"
,,,7,,631307,交通勤務," 	154,233 "," 	155,218 ",-	985 ,"本年度預算數154,233千元，
較上年度增列替代役男實施專
門訓練及管理等經費307千元
，及減列超勤加(值)班等經費
1,292千元。"
,,,9,,631310,交通安全管理," 	108,984 "," 	108,584 ", 	400 ,"本年度預算數108,984千元，
較上年度增列酒測器、測速照
相器材校正檢驗等經費1,600
千元，及減列約聘僱人員等經
費1,200千元。"
,,15,,,634000,預備金, 	630 , 	630 , 	-00 ,
,,,1,,634001,第一預備金, 	630 , 	630 , 	-00 ,仍照上年度預算數編列。
