臺中市附屬單位預算,,,,,,,臺中市附屬單位預算,,,,,,,,,,,,,,,
營 業 基 金 損 益 綜 計 表,,,,,,,營 業 基 金 損 益 綜 計 表,,,,,,,,,,,,,,,
                                                                                                             (依收支科目分列),,,,,,,                                                                                                                 (依基金別分列),,,,,,,,,,,,,,,
                                        中華民國104年度,,,,,單位：新臺幣千元,,                                        中華民國104年度,,,,,,單位：新臺幣千元,,,,,,,,,
科        目,本年度預算數,,上年度預算數,,比較增減(-),,科        目,合  計,,豐原農產品股份有限公司,,臺中快捷巴士 股份有限公司,,,,,,,,,,
,金  額,%,金  額,%,金  額,%,,金  額,%,金  額,%,金  額,%,,,,,,,,,
營業收入,"420,159",100,"212,334",100,"207,825",97.88,營業收入,"420,159",100,"21,063",100,"399,096",100,,,,,,,,,
  勞務收入,"21,063",5.01,"21,000",9.89,63,0.3,  勞務收入,"21,063",5.01,"21,063",100, -   ,0,,,,,,,,,
       管理費收入,"21,063",5.01,"21,000",9.89,63,0.3,       管理費收入,"21,063",5.01,"21,063",100, -   ,0,,,,,,,,,
  運輸收入,"276,012",65.69,"186,667",87.91,"89,345",47.86,  運輸收入,"276,012",65.69, -   ,0,"276,012",69.16,,,,,,,,,
       客運收入,"276,012",65.69,"186,667",87.91,"89,345",47.86,       客運收入,"276,012",65.69, -   ,0,"276,012",69.16,,,,,,,,,
  印刷出版廣告收入,"27,306",6.5,"4,667",2.2,"22,639",485.09,  印刷出版廣告收入,"27,306",6.5, -   ,0,"27,306",6.84,,,,,,,,,
       廣告收入,"27,306",6.5,"4,667",2.2,"22,639",485.09,       廣告收入,"27,306",6.5, -   ,0,"27,306",6.84,,,,,,,,,
  其他營業收入,"95,778",22.8, -   , -   ,"95,778", -   ,  其他營業收入,"95,778",22.8, -   ,0,"95,778",24,,,,,,,,,
       營業資產租金收入,"95,778",22.8, -   , -   ,"95,778", -   ,       營業資產租金收入,"95,778",22.8, -   ,0,"95,778",24,,,,,,,,,
營業成本,"201,664",48,"135,438",63.79,"66,226",48.9,營業成本,"201,664",48, -   ,0,"201,664",50.53,,,,,,,,,
  輸儲成本,"201,664",48,"135,438",63.79,"66,226",48.9,  輸儲成本,"201,664",48, -   ,0,"201,664",50.53,,,,,,,,,
       維持費用,"155,644",37.04,"102,588",48.32,"53,056",51.72,       維持費用,"155,644",37.04, -   ,0,"155,644",39,,,,,,,,,
       行車費用,"46,020",10.96,"32,850",15.47,"13,170",40.09,       行車費用,"46,020",10.96, -   ,0,"46,020",11.53,,,,,,,,,
營業毛利,"218,495",52,"76,896",36.21,"141,599",184.14,營業毛利,"218,495",52,"21,063",100,"197,432",49.47,,,,,,,,,
營業費用,"34,168",8.13,"29,429",13.86,"4,739",16.1,營業費用,"34,168",8.13,"25,888",122.9,"8,280",2.07,,,,,,,,,
行銷費用,"10,728",2.55,"10,377",4.89,351,3.38,行銷費用,"10,728",2.55,"10,528",49.98,200,0.05,,,,,,,,,
       行銷費用,"10,728",2.55,"10,377",4.89,351,3.38,       行銷費用,"10,728",2.55,"10,528",49.98,200,0.05,,,,,,,,,
    管理費用,"23,425",5.58,"19,052",8.97,"4,373",22.95,    管理費用,"23,425",5.58,"15,360",72.92,"8,065",2.02,,,,,,,,,
        管理費用,"23,425",5.58,"19,052",8.97,"4,373",22.95,        管理費用,"23,425",5.58,"15,360",72.92,"8,065",2.02,,,,,,,,,
    其他營業費用,15,0, -   , -   ,15, -   ,    其他營業費用,15,0, -   ,0,15,0,,,,,,,,,
        員工訓練費用,15,0, -   , -   ,15, -   ,        員工訓練費用,15,0, -   ,0,15,0,,,,,,,,,
營業利益(損失-),"184,327",43.87,"47,467",22.35,"136,860",288.33,營業利益(損失-),"184,327",43.87,"-4,825",-22.9,"189,152",47.4,,,,,,,,,
營業外收入,"7,550",1.8,"7,537",3.55,13,0.17,營業外收入,"7,550",1.8,"6,900",32.76,650,0.16,,,,,,,,,
    財務收入,320,0.08,307,0.14,13,4.23,    財務收入,320,0.08,150,0.71,170,0.04,,,,,,,,,
        利息收入,320,0.08,307,0.14,13,4.23,        利息收入,320,0.08,150,0.71,170,0.04,,,,,,,,,
    其他營業外收入,"7,230",1.72,"7,230",3.41, -   , -   ,    其他營業外收入,"7,230",1.72,"6,750",32.05,480,0.12,,,,,,,,,
        什項收入,"7,230",1.72,"7,230",3.41, -   , -   ,        什項收入,"7,230",1.72,"6,750",32.05,480,0.12,,,,,,,,,
營業外利益(損失-),"7,550",1.8,"7,537",3.55,13,0.17,營業外利益(損失-),"7,550",1.8,"6,900",32.76,650,0.16,,,,,,,,,
稅前利益(純損-),"191,877",45.67,"55,004",25.9,"136,873",248.84,稅前利益(純損-),"191,877",45.67,"2,075",9.86,"189,802",47.56,,,,,,,,,
所得稅費用(利益-),"32,619",7.77,"9,351",4.4,"23,268",248.83,所得稅費用(利益-),"32,619",7.77,353,1.68,"32,266",8.08,,,,,,,,,
    所得稅費用(利益-),"32,619",7.77,"9,351",4.4,"23,268",248.83,    所得稅費用(利益-),"32,619",7.77,353,1.68,"32,266",8.08,,,,,,,,,
        所得稅費用(利益-),"32,619",7.77,"9,351",4.4,"23,268",248.83,        所得稅費用(利益-),"32,619",7.77,353,1.68,"32,266",8.08,,,,,,,,,
本期純益(純損-),"159,258",37.9,"45,653",21.5,"113,605",248.84,本期純益(純損-),"159,258",37.9,"1,722",8.18,"157,536",39.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬單位預算,,,,,,,臺中市附屬單位預算,,,,,,,,,,,,,,,
營 業 基 金 盈 虧 撥 補 綜 計 表,,,,,,,營 業 基 金 盈 虧 撥 補 綜 計 表,,,,,,,,,,,,,,,
                                                                                                                  (依撥補項目分列),,,,,,,                                                                                                                  (依基金別分列),,,,,,,,,,,,,,,
                                     中華民國104年度,,,,,  單位：新臺幣千元,,                                     中華民國104年度,,,,,  單位：新臺幣千元,,,,,,,,,,
項         目,本年度預算數,,上年度預算數,,比較增減(-),,項         目,合   計,,豐原農產品                              股份有限公司,,臺中快捷巴士                      股份有限公司,,,,,,,,,,
,金  額,%,金  額,%,金  額,%,,金  額,%,金  額,%,金  額,%,,,,,,,,,
盈餘之部,"213,323",100,"62,984",100,"150,339",238.69,盈餘之部,"213,323",100,"18,639",100,"194,684",100,,,,,,,,,
  本期純益,"159,258",74.66,"45,653",72.48,"113,605",248.84,  本期純益,"159,258",74.66,"1,722",9.24,"157,536",80.92,,,,,,,,,
  累積盈餘,"54,065",25.34,"17,331",27.52,"36,734",211.96,  累積盈餘,"54,065",25.34,"16,917",90.76,"37,148",19.08,,,,,,,,,
分配之部,"213,323",100,"62,984",100,"150,339",238.69,分配之部,"213,323",100,"18,639",100,"194,684",100,,,,,,,,,
  留存事業機關者,"213,323",100,"62,984",100,"150,339",238.69,  留存事業機關者,"213,323",100,"18,639",100,"194,684",100,,,,,,,,,
    填補虧損, -   ,0,"10,631",16.88,"-10,631", -   ,    填補虧損, -   , -   , -   , -   , -   , -   ,,,,,,,,,
    法定公積,"15,926",7.47,"3,503",5.56,"12,423",354.64,    法定公積,"15,926",7.47,172,0.92,"15,754",8.09,,,,,,,,,
    未分配盈餘,"197,397",92.53,"48,850",77.56,"148,547",304.09,    未分配盈餘,"197,397",92.53,"18,467",99.08,"178,930",91.91,,,,,,,,,
虧損之部, -   ,0,"10,631",100,"-10,631",-100,虧損之部, -   , -   , -   , -   , -   , -   ,,,,,,,,,
  本期純損, -   ,0, -   ,0, -   , -   ,  本期純損, -   , -   , -   , -   , -   , -   ,,,,,,,,,
  累計虧損, -   ,0,"10,631",100,"-10,631",-100,  累計虧損, -   , -   , -   , -   , -   , -   ,,,,,,,,,
填補之部, -   ,0,"10,631",100,"-10,631",-100,填補之部, -   , -   , -   , -   , -   , -   ,,,,,,,,,
  事業機關負擔者, -   ,0,"10,631",100,"-10,631",-100,  事業機關負擔者, -   , -   , -   , -   , -   , -   ,,,,,,,,,
    待填補之虧損, -   ,0, -   ,0, -   , -   ,    待填補之虧損, -   , -   , -   , -   , -   , -   ,,,,,,,,,
    撥用盈餘, -   ,0,"10,631",100,"-10,631",-100,    撥用盈餘, -   , -   , -   , -   , -   , -   ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬單位預算,,,,臺中市附屬單位預算,,,,,,,,,,,,,,,,,,
營 業 基 金 現 金 流 量 綜 計 表,,,,營 業 基 金 現 金 流 量 綜 計 表,,,,,,,,,,,,,,,,,,
                                                         (依現金流量項目分列),,,,                                                                                                                (依基金別分列),,,,,,,,,,,,,,,,,,
                                                  中華民國104年度,,單位：新臺幣千元,,                                                           中華民國104年度,,單位：新臺幣千元,,,,,,,,,,,,,,,,
項                                目,本      年      度      預      算      數,,,項                                目,合       計,豐原農產品股份有限公司,臺中快捷巴士 股份有限公司,,,,,,,,,,,,,,,
,,,,,金  額,金  額,金  額,,,,,,,,,,,,,,,
營業活動之現金流量,,,,營業活動之現金流量,,,,,,,,,,,,,,,,,,
  本期純益(純損-),,"159,258",,  本期純益(純損-),"159,258","1,722","157,536",,,,,,,,,,,,,,,
  調整非現金項目,,"36,367",,  調整非現金項目,"36,367","2,085","34,282",,,,,,,,,,,,,,,
    折舊、折耗及減損,,"2,377",,    折舊、折耗及減損,"2,377","1,196","1,181",,,,,,,,,,,,,,,
    攤銷,,935,,    攤銷,935,100,835,,,,,,,,,,,,,,,
    其他,,-14,,    其他,-14,-14, -   ,,,,,,,,,,,,,,,
    流動資產淨減(淨增-),,-200,,    流動資產淨減(淨增-),-200,-200, -   ,,,,,,,,,,,,,,,
    流動負債淨增(淨減-),,"33,269",,    流動負債淨增(淨減-),"33,269","1,003","32,266",,,,,,,,,,,,,,,
     營業活動之淨現金流入(流出-),,"195,625",,     營業活動之淨現金流入(流出-),"195,625","3,807","191,818",,,,,,,,,,,,,,,
投資活動之現金流量,,,,投資活動之現金流量,,,,,,,,,,,,,,,,,,
  增加固定資產及遞耗資產,,"-3,421",,  增加固定資產及遞耗資產,"-3,421", -   ,"-3,421",,,,,,,,,,,,,,,
     投資活動之淨現金流入(流出-),,"-3,421",,     投資活動之淨現金流入(流出-),"-3,421", -   ,"-3,421",,,,,,,,,,,,,,,
融資活動之現金流量,,,,融資活動之現金流量,,,,,,,,,,,,,,,,,,
  增加資本、公積及填補虧損,,"30,000",,  增加資本、公積及填補虧損,"30,000", -   ,"30,000",,,,,,,,,,,,,,,
      融資活動之淨現金流入(流出-),,"30,000",,      融資活動之淨現金流入(流出-),"30,000", -   ,"30,000",,,,,,,,,,,,,,,
現金及約當現金之淨增(淨減-),,"222,204",,現金及約當現金之淨增(淨減-),"222,204","3,807","218,397",,,,,,,,,,,,,,,
期初現金及約當現金,,"230,520",,期初現金及約當現金,"230,520","20,273","210,247",,,,,,,,,,,,,,,
期末現金及約當現金,,"452,724",,期末現金及約當現金,"452,724","24,080","428,644",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬,,,,,,,,,,,單位預算,,,,,,,,,,,
營業基金固定資產建設,,,,,,,,,,,改良擴充資金來源綜計表,,,,,,,,,,,
,,,,,,,,,中華民國,,104年度,,,,,,,,,單位:新臺幣千元,,
基金及計畫名稱,自  有  資  金,,,,,,,,,,外 借 資 金,,,,,,,,,,合  計,
,營運資金,,出售                  不適用資產,,增資,,其他,,小  計,,國內借款,,,,,,國外借款,,小  計,,,
,,,,,,,,,,,銀行借款,,公司債,,其他,,,,,,,
,金額, % ,金額, % ,金額, % ,金額, % ,金額, % ,金額, % ,金額, % ,金額, % ,金額, % ,金額, % ,金額, % 
臺中快捷巴士股份有限公司,"3,421",100,,,,,,,"3,421",100,,,,,,,,, - , - ,"3,421",100
      一般建築及設備計畫,"3,421",100,,,,,,,"3,421",100,,,,,,,,, - , - ,"3,421",100
          一次性項目,"3,421",100,,,,,,,"3,421",100,,,,,,,,, - , - ,"3,421",100
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
合  計,"3,421",100,,,,,,,"3,421",100,,,,,,,,, - , - ,"3,421",100
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬,,,,,,,,單位預算,,,,,,,,,,,,,,
營業基金資本,,,,,,,,增減綜計表,,,,,,,,,,,,,,
,,,,,,中華民國,,104年度,,,,,,,,,單位:新臺幣千元,,,,,
基  金  名  稱,期 初 資 本 額,,,本     年     度,,,,增       減       數,,,,,,,,期 末 資 本 額,,,,,,
,實收資本,預收資本,合 計,中央政府資本,,市政府資本,,轉投資事業       機關資本,,其他政府          機關資本,,民間股東資本,,合 計,,實收資本,預收資本,合計,,,,
,,,,現金, 轉帳 ,現金, 轉帳 ,現金, 轉帳 ,現金, 轉帳 ,現金, 轉帳 ,現金, 轉帳 ,,,,,,,
豐原農產品股份有限公司,"1,000", - ,"1,000", - , - , - , - , - , - , - , - , - , - , - , - ,"1,000", - ,"1,000",,,,
臺中快捷巴士股份有限公司,"170,000", - ,"170,000", - , - ,"30,000", - , - , - , - , - , - , - ,"30,000", - ,"200,000", - ,"200,000",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
合        計,"171,000", - ,"171,000", - , - ,"30,000", - , - , - , - , - , - , - ,"30,000", - ,"201,000", - ,"201,000",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
作業基金,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬單位預算,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
作業基金收支餘絀綜計表,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(依收支科目分列),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
中華民國 104年度,,,,,,,,,,,,,,,,,,,,,,
單位：新臺幣千元,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,本年度預算數,,,上年度預算數,,,比較增減(-),,,,,,,,,,,,,,,
科            目,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,金      額,％,,金      額,％,,金      額,％,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
    業務收入,"2,097,295",100,,"9,495,219",100,,"-7,397,924",-77.91,,,,,,,,,,,,,,
        勞務收入,"1,704,040",81.25,,"3,310,417",34.87,,"-1,606,377",-48.52,,,,,,,,,,,,,,
        租金及權利金收入,"203,447",9.7,,"162,321",1.71,,"41,126",25.34,,,,,,,,,,,,,,
        投融資業務收入,-,-,,"2,176,245",22.92,,"-2,176,245",-100,,,,,,,,,,,,,,
        醫療收入,"121,926",5.81,,"118,894",1.25,,"3,032",2.55,,,,,,,,,,,,,,
        其他業務收入,"67,882",3.24,,"3,727,342",39.25,,"-3,659,460",-98.18,,,,,,,,,,,,,,
    業務成本與費用,"2,957,962",141.04,,"4,984,220",52.5,,"-2,026,258",-40.65,,,,,,,,,,,,,,
        勞務成本,"994,891",47.44,,"1,307,208",13.77,,"-312,317",-23.89,,,,,,,,,,,,,,
        投融資業務成本,-,-,,"1,570,311",16.54,,"-1,570,311",-100,,,,,,,,,,,,,,
        醫療成本,"25,462",1.21,,"23,967",0.25,,"1,495",6.24,,,,,,,,,,,,,,
        其他業務成本,"838,135",39.96,,"982,938",10.35,,"-144,803",-14.73,,,,,,,,,,,,,,
        行銷及業務費用,"91,050",4.34,,"89,175",0.94,,"1,875",2.1,,,,,,,,,,,,,,
        管理及總務費用,"890,206",42.45,,"887,371",9.35,,"2,835",0.32,,,,,,,,,,,,,,
        其他業務費用,"118,218",5.64,,"123,250",1.3,,"-5,032",-4.08,,,,,,,,,,,,,,
    業務賸餘(短絀-),"-860,667",-41.04,,"4,510,999",47.5,,"-5,371,666",-119.08,,,,,,,,,,,,,,
    業務外收入,"145,059",6.92,,"152,043",1.6,,"-6,984",-4.59,,,,,,,,,,,,,,
        財務收入,"97,684",4.66,,"96,897",1.02,,787,0.81,,,,,,,,,,,,,,
        其他業務外收入,"47,375",2.26,,"55,146",0.58,,"-7,771",-14.09,,,,,,,,,,,,,,
    業務外費用,"81,713",3.9,,"8,586",0.09,,"73,127",851.7,,,,,,,,,,,,,,
        其他業務外費用,"81,713",3.9,,"8,586",0.09,,"73,127",851.7,,,,,,,,,,,,,,
    業務外賸餘(短絀-),"63,346",3.02,,"143,457",1.51,,"-80,111",-55.84,,,,,,,,,,,,,,
    本期賸餘(短絀-),"-797,321",-38.02,,"4,654,456",49.01,,"-5,451,777",-117.13,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬單位預算,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
作業基金收支餘絀綜計表,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(依基金別分列),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
中華民國 104年度,,,,,,,,,,,,,,,,,,,,,,
單位：新臺幣千元,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,合    計,,,臺中市政府公教人員住宅及福利委員會,,,臺中市公有停車場基金,,,臺中市管線工程統一挖補作業基金,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
科      目,,,,,,,,,,,,,,,,,,,,,,
金      額,金      額,％,,,金      額,％,,金      額,％,,,金      額,％,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
業務收入,"2,097,295",100,,,-,-,,"963,000",100,,,"548,750",100,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
勞務收入,"1,704,040",81.25,,,-,-,,"783,000",81.31,,,"531,750",96.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
租金及權利金收入,"203,447",9.7,,,-,-,,"180,000",18.69,,,-,-,,,,,,,,,
投融資業務收入,-,-,,,-,-,,-,-,,,-,-,,,,,,,,,
醫療收入,"121,926",5.81,,,-,-,,-,-,,,-,-,,,,,,,,,
其他業務收入,"67,882",3.24,,,-,-,,-,-,,,"17,000",3.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
業務成本與費用,"2,957,962",141.04,,,"1,700",-,,"748,333",77.71,,,"571,763",104.19,,,,,,,,,
勞務成本,"994,891",47.44,,,-,-,,"58,434",6.07,,,"532,500",97.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
投融資業務成本,-,-,,,-,-,,-,-,,,-,-,,,,,,,,,
醫療成本,"25,462",1.21,,,-,-,,-,-,,,-,-,,,,,,,,,
其他業務成本,"838,135",39.96,,,-,-,,-,-,,,-,-,,,,,,,,,
行銷及業務費用,"91,050",4.34,,,-,-,,-,-,,,-,-,,,,,,,,,
管理及總務費用,"890,206",42.45,,,"1,700",-,,"689,899",71.64,,,"39,263",7.15,,,,,,,,,
其他業務費用,"118,218",5.64,,,-,-,,-,-,,,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
業務賸餘(短絀-),"-860,667",-41.04,,,"-1,700",-,,"214,667",22.29,,,"-23,013",-4.19,,,,,,,,,
業務外收入,"145,059",6.92,,,584,-,,"30,500",3.17,,,838,0.15,,,,,,,,,
財務收入,"97,684",4.66,,,584,-,,"1,000",0.1,,,838,0.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
其他業務外收入,"47,375",2.26,,,-,-,,"29,500",3.07,,,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
業務外費用,"81,713",3.9,,,-,-,,-,-,,,"75,015",13.67,,,,,,,,,
其他業務外費用,"81,713",3.9,,,-,-,,-,-,,,"75,015",13.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
業務外賸餘(短絀-),"63,346",3.02,,,584,-,,"30,500",3.17,,,"-74,177",-13.52,,,,,,,,,
本期賸餘(短絀-),"-797,321",-38.02,,,"-1,116",-,,"245,167",25.46,,,"-97,190",-17.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
臺中市附屬單位預算,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
作業基金收支餘絀綜計表,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(依基金別分列),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
中華民國 104年度,,,,,,,,,,,,,,,,,,,,,,
單位：新臺幣千元,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,臺中市都市更新及都市發展建設基金,,,臺中市醫療作業基金,,,臺中市市地重劃基金,,,臺中市實施平均地權基金,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
科      目,,,,,,,,,,,,,,,,,,,,,,
金      額,金      額,％,,,金      額,％,,金      額,％,,金      額,％,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
業務收入,"350,040",100,,,"129,628",100,,-,-,,"39,058",100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
勞務收入,"350,040",100,,,-,-,,-,-,,"16,820",43.06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
租金及權利金收入,-,-,,,-,-,,-,-,,"22,238",56.94,,,,,,,,,,
