中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,1,,"3202100100
一般行政","177,872 ","178,320 ",-448 ,"本年度預算數之內容與上年度之比較如下：
1.人員維持費150,032千元，較上年度增列
   缺額補實之人事費1,638千元。
2.基本行政工作維持費27,840千元，較上年
   度減列資訊服務費、水電費、資訊軟硬體
   設備費、雜項設備費等2,086千元。",
,,2,,"3202102000
諮詢研究業務","21,483 ","21,955 ",-472 ,"本年度預算數21,483千元，係國家安全諮詢
研究業務經費，較上年度減列國防、外交與
兩岸相關議題之研究經費472千元。",
,,3,,"3202109000
一般建築及設備",920 ,-,920 ,,
,,,1,"3202109011
交通及運輸設備",920 ,-,920 ,新增汰換首長專用車1輛經費如列數。,
,,4,,"3202109800
第一預備金",500 ,500 ,0 ,仍照上年度預算數編列。,
,3,,,"0002300000
國史館","203,328 ","208,753 ","-5,425 ",,
,,,,"5302300000
文化支出","203,328 ","208,753 ","-5,425 ",,
,,1,,"5302300100
一般行政","178,409 ","183,749 ","-5,340 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費156,741千元，較上年度減列
   撥補勞工退休準備金專戶差額經費6,667
   千元。
2.基本行政工作維持費20,168千元，較上年
   度增列古蹟建築物整修工程規劃設計等經
   費1,500千元。
3.資訊業務經費1,500千元，較上年度減列
   資訊設備維護保養等經費173千元。",
,,2,,"5302301000
史料採集與典藏","16,009 ","17,586 ","-1,577 ",,
,,,1,"5302301001
史料採集","8,012 ","8,552 ",-540 ,"本年度預算數之內容與上年度之比較如下：
1.文物整理維護經費1,593千元，較上年度
   減列購置文物庫房設備等經費918千元。
2.文物採集展覽應用經費6,419千元，較上
   年度增列辦理文物更展等經費378千元。",
,,,2,"5302301002
史料整編典藏閱覽","7,997 ","9,034 ","-1,037 ","本年度預算數7,997千元，係辦理史料圖書
採集整編典藏經費，較上年度減列史料數位
化等經費1,037千元。",
,,3,,"5302302000
國史編纂","8,570 ","7,078 ","1,492 ","本年度預算數之內容與上年度之比較如下：
1.史籍編纂及史事專題研究經費2,507千元
   ，較上年度減列史籍印製費279千元。
2.總統副總統史料及人物傳記編纂經費4,19
   2千元，較上年度增列編輯、校對及印製
   費1,978千元。
3.史學研究叢刊編撰經費1,871千元，較上
   年度減列辦理學術研討會等經費207千元
   。",
,,4,,"5302309800
第一預備金",340 ,340 ,0 ,仍照上年度預算數編列。,
,4,,,"0002310000
國史館臺灣文獻館","96,070 ","95,812 ",258 ,,
,,,,"5302310000
文化支出","96,070 ","95,812 ",258 ,,
,,1,,"5302313000
一般行政","79,099 ","77,601 ","1,498 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費59,652千元，較上年度增列員
   工薪俸晉級差額經費248千元。
2.基本行政工作維持費19,447千元，較上年
   度增列文物大樓屋頂防水隔熱改善工程等
   經費1,250千元。",
,,2,,"5302314000
文獻業務","16,971 ","18,211 ","-1,240 ",,
,,,1,"5302314002
採集文獻暨文物大樓營運","3,795 ","3,948 ",-153 ,"本年度預算數3,795千元，係採集文獻暨文
物大樓營運所需經費，較上年度減列委辦費
及電腦採購等經費153千元。",
,,,2,"5302314003
整理文獻暨文獻大樓營運","7,801 ","8,277 ",-476 ,"本年度預算數7,801千元，係整理文獻暨文
獻大樓營運所需經費，較上年度減列購置數
典資料庫伺服器主機及磁碟陣列儲存系統設
備等經費476千元。",
,,,3,"5302314004
編輯文獻暨史蹟大樓營運","5,375 ","5,986 ",-611 ,"本年度預算數5,375千元，係編輯文獻暨史
蹟大樓營運所需經費，較上年度減列委辦費
等611千元。",
,5,,,"0002400000
中央研究院","14,171,436 ","15,390,067 ","-1,218,631 ",,
,,,,"5202400000
科學支出","14,171,436 ","15,390,067 ","-1,218,631 ",,
,,1,,"5202400100
一般行政","366,568 ","374,752 ","-8,184 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費196,508千元，較上年度核實
   減列人事費464千元。
2.基本行政工作維持費43,576千元，較上年
   度減列水電費及房屋建築養護等經費455
   千元。
3.資訊技術服務經費88,429千元，較上年度
   減列資訊操作維護、國際網路專線及接取
   服務租金等經費3,883千元。
4.場地設施管理經費28,529千元，較上年度
   減列設施機械設備養護及購置雜項設備等
   經費3,382千元。
5.幼兒園運作維持經費9,526千元，與上年
   度同。",
,,2,,"5202401000
一般學術研究及評議","6,280,854 ","6,055,464 ","225,390 ",,
,,,1,"5202401020
學術審議及研究獎助","3,010,055 ","3,085,782 ","-75,727 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費2,461,187千元，較上年度核
   實減列人事費67,919千元。
2.基本行政工作維持費321,054千元，較上
   年度增列電子資料庫使用及房屋建築修繕
   等經費82,382千元。
3.學術發展及交流合作經費108,675千元，
   較上年度減列電子資料庫使用及對學生獎
   助等經費11,501千元。
4.儀器整合管理經費106,597千元，較上年
   度減列電費及購置儀器設備等經費7,136
   千元。
5.公用儀器設施使用經費10,000千元，較上
   年度增列購置研究耗材及儀器設備養護等
   經費3,000千元。
6.新增籌開第33次院士會議經費2,542千元
   。
7.上年度召開第32次院士會議預算業已編竣
   ，所列77,095千元如數減列。",
,,,2,"5202401023
主題研究與人才培育","3,270,799 ","2,969,682 ","301,117 ","本年度預算數之內容與上年度之比較如下：
1.人才延攬及培育計畫經費732,234千元，
   較上年度增列購置研究耗材及對學生獎助
   等經費14,743千元。
2.跨所（處）新領域之開發及研究環境之改
   善經費999,008千元，較上年度減列水電
   費及購置研究耗材等經費46,594千元。
3.跨所（處）、研究中心主題研究計畫經費
   266,472千元，較上年度減列購置研究耗
   材及儀器設備養護等經費15,947千元。
4.學研合作經費32,000千元，較上年度增列
   購置研究耗材及對學生獎助等經費2,153
   千元。
5.科學研究基金經費1,241,085千元，較上
   年度減列健康雲跨領域研究、打造世界級
   蛋白質研發重鎮等計畫經費36,860千元，
   增列創新轉譯農學研究、生技醫藥轉譯創
   新發展等計畫經費383,622千元，計淨增3
   46,762千元。",
,,3,,"5202402000
自然及人文社會科學研究","4,485,113 ","4,604,158 ","-119,045 ",,
,,,1,"5202402010
數理科學研究","1,691,313 ","1,749,612 ","-58,299 ","本年度預算數之內容與上年度之比較如下：
1.數學研究經費62,267千元，較上年度減列
   購置資訊軟硬體設備及雜項設備等經費2,
   728千元。
2.物理研究經費195,063千元，較上年度減
   列購置儀器設備及雜項設備等經費13,418
   千元。
3.化學研究經費134,424千元，較上年度減
   列購置儀器設備及雜項設備等經費9,346
   千元。
4.地球科學研究經費101,757千元，較上年
   度減列購置儀器設備及雜項設備等經費2,
   617千元。
5.資訊科學研究經費166,265千元，較上年
   度增列房屋建築養護及儀器設備養護等經
   費1,249千元。
6.統計科學研究經費106,569千元，較上年
   度增列房屋建築及儀器設備養護等經費7,
   840千元。
7.原子與分子科學研究經費186,762千元，
   較上年度減列購置研究耗材及雜項設備等
   經費5,032千元。
8.天文及天文物理科學研究經費346,845千
   元，較上年度減列購置儀器設備及雜項設
   備等經費8,115千元。
9.應用科學研究經費124,564千元，較上年
   度減列購置研究耗材及儀器設備養護等經
   費19,490千元。
10.環境變遷研究經費93,726千元，較上年
   度增列房屋建築修繕及對學生獎助等經費
   576千元。
11.資訊科技創新研究經費173,071千元，較
   上年度減列購置研究耗材及儀器設備養護
   等經費7,218千元。",
,,,2,"5202402020
生命科學研究","1,862,626 ","1,905,874 ","-43,248 ","本年度預算數之內容與上年度之比較如下：
1.植物暨微生物學研究經費152,984千元，
   較上年度減列購置研究耗材及儀器設備養
   護等經費3,058千元。
2.細胞與個體生物學研究經費112,623千元
   ，較上年度增列購置研究耗材及資訊軟硬
   體設備等經費2,606千元。
3.生物化學研究經費161,028千元，較上年
   度減列購置研究耗材及資訊軟硬體設備等
   經費3,220千元。
4.生物醫學科學研究經費413,617千元，較
   上年度減列購置研究耗材及資訊軟硬體設
   備等經費8,262千元。
5.分子生物研究經費281,648千元，較上年
   度減列購置研究耗材及資訊軟硬體設備等
   經費5,630千元。
6.農業生物科技研究經費137,979千元，較
   上年度減列房屋建築修繕及購置雜項設備
   等經費1,737千元。
7.生命科學圖書館經費36,279千元，較上年
   度減列電子資料庫使用及購置雜項設備等
   經費35,229千元。
8.臨海研究站經費41,803千元，較上年度減
   列購置研究耗材及儀器設備等經費5,693
   千元。
9.生物多樣性研究計畫經費99,002千元，較
   上年度減列購置研究耗材及儀器設備等經
   費15,294千元。
10.基因體研究計畫經費333,363千元，較上
   年度減列購置研究耗材及資訊軟硬體設備
   等經費6,662千元。
11.南部生物科技計畫經費52,324千元，較
   上年度減列購置研究耗材及儀器設備等經
   費1,045千元。
12.新增跨領域大樓基本行政工作維持費39,
   976千元。",
,,,3,"5202402030
人文及社會科學研究","931,174 ","948,672 ","-17,498 ","本年度預算數之內容與上年度之比較如下：
1.史學及考文研究經費184,420千元，較上
   年度減列購置研究耗材及儀器設備養護等
   經費642千元。
2.民族學研究經費71,608千元，較上年度增
   列資訊操作維護及資料蒐集等經費1,180
   千元。
3.近代史研究及史料搜集整編經費86,147千
   元，較上年度減列購置研究耗材及儀器設
   備養護等經費613千元。
4.經濟研究經費67,750千元，較上年度減列
   資訊操作維護及購置雜項設備等經費3,62
   6千元。
5.歐美研究經費60,257千元，較上年度減列
   電費及購置雜項設備等經費2,145千元。
6.中國文哲研究經費51,461千元，較上年度
   減列資料蒐集及購置雜項設備等經費322
   千元。
7.台灣史研究經費55,218千元，較上年度減
   列電費及購置研究耗材等經費311千元。
8.社會學研究經費61,907千元，較上年度減
   列購置研究耗材及雜項設備等經費1,908
   千元。
9.語言學研究經費56,044千元，較上年度減
   列購置雜項設備等經費966千元。
10.政治學研究經費33,769千元，較上年度
   增列儀器設備養護及購置資訊軟硬體設備
   等經費200千元。
11.人文社會科學研究經費126,331千元，較
   上年度減列儀器設備養護及購置雜項設備
   等經費4,891千元。
12.法律學研究經費46,461千元，較上年度
   減列電費及購置研究耗材等經費270千元
   。
13.人文館基本行政工作維持費29,801千元
   ，較上年度減列清潔費及房屋建築養護等
   經費3,184千元。",
,,4,,"5202403000
國家生技研究園區","1,397,720 ","3,995,114 ","-2,597,394 ","本年度預算數之內容與上年度之比較如下：
1.國家生技研究園區計畫總經費22,596,000
   千元，97至105年度已編列18,850,350千
   元，本年度續編第10年經費1,397,720千
   元，納入科學研究基金辦理，較上年度減
   列2,538,979千元。
2.上年度國家生技研究園區營運管理維護經
   費預算業已編竣，所列58,415千元如數減
   列。",
,,5,,"5202409000
一般建築及設備","1,633,806 ","352,385 ","1,281,421 ",,
,,,1,"5202409001
土地購置","1,458,200 ","88,000 ","1,370,200 ","本年度預算數之內容與上年度之比較如下：
1.中央研究院南部院區計畫土地購置總經費
   1,545,000千元，105年度編列88,000千元
   ，本年度編列第2年經費1,457,000千元，
   較上年度增列1,369,000千元。
2.新增購置研究院路二段37巷計畫道路南段
   二小段203地號用地取得經費1,200千元。",
,,,2,"5202409002
營建工程","175,606 ","263,960 ","-88,354 ","本年度預算數之內容與上年度之比較如下：
1.環境變遷研究大樓新建工程計畫總經費1,
   235,100千元(公務預算972,100千元，科
   學研究基金預算263,000千元)，分年辦理
   ，以前年度已編列1,089,494千元(公務預
   算826,494千元，科學研究基金預算263,0
   00千元)，本年度續編最後1年經費145,60
   6千元，較上年度減列118,354千元。
2.新增中央研究院南部院區計畫規劃費等30
   ,000千元。",
,,,3,"5202409011
交通及運輸設備",0 ,425 ,-425 ,"上年度購置工作車1輛預算業已編竣，所列4
25千元如數減列。",
,,6,,"5202409800
第一預備金","7,375 ","8,194 ",-819 ,本年度預算數較上年度減列如列數。,
2,,,,"0003000000
行政院主管","23,487,126 ","24,649,588 ","-1,162,462 ",,
,1,,,"0003010000
行政院","1,244,641 ","1,288,398 ","-43,757 ","本科目上年度法定預算數1,277,570千元，
連同由科技部「一般行政」科目移入10,828
千元，共計如表列上年度預算數。",
,,,,"3303010000
行政支出","1,244,641 ","1,288,398 ","-43,757 ",,
,,1,,"3303010100
一般行政","890,274 ","916,241 ","-25,967 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費816,496千元，較上年度減列
   撥補勞工退休準備金專戶差額經費26,665
   千元。
2.基本行政工作維持費72,006千元，較上年
   度減列工讀生1人酬勞等經費492千元，增
   列中央大樓白蟻防治處理費及清潔勞務服
   務費等1,190千元，計淨增698千元。
3.慶典佈置經費150千元，與上年度同。
4.檔案管理典藏掃描及維護經費397千元，
   與上年度同。
5.資料蒐集及陳列經費1,225千元，與上年
   度同。",
,,2,,"3303010700
施政及法制業務","11,663 ","12,359 ",-696 ,"本年度預算數之內容與上年度之比較如下：
1.院會議事經費338千元，與上年度同。
2.施政報告編印經費684千元，與上年度同
   。
3.公民投票審議委員會業務經費860千元，
   較上年度減列公民投票審議委員會主任委
   員及委員兼職費647千元。
4.政策及法案之研審經費654千元，與上年
   度同。
5.派員出國計畫經費402千元，較上年度減
   列派員參加國際會議等經費49千元。
6.公共事務推展經費5,400千元，與上年度
   同。
7.法規審查研議及訴願審議督導3,325千元
   ，與上年度同。",
,,3,,"3303011100
施政推展聯繫","6,250 ","6,250 ",0 ,"本年度預算數6,250千元，係院長行使職權
之相關必要支出，與上年度同。",
,,4,,"3303011500
科技發展研究諮詢","40,259 ","40,621 ",-362 ,"本年度預算數之內容與上年度之比較如下：
1.科技發展企劃及行政工作維持費35,743千
   元，與上年度同。
2.政府科技概算審議經費1,645千元，與上
   年度同。
3.科技會報及重要科技策略會議經費2,871
   千元，較上年度減列辦理科技策略會議場
   地及設備租金等經費362千元。",
,,5,,"3303011600
聯合服務業務","113,115 ","113,115 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.南部聯合服務業務經費94,405千元，與上
   年度同，包括：
  (1)基本運作經費8,989千元，與上年度同
     。
  (2)南部聯合服務中心興建辦公廳舍計畫
     總經費437,801千元，分7年辦理，101
     至105年度已編列155,204千元，本年度
     續編第6年經費85,416千元，與上年度
     同。
2.中部聯合服務業務經費6,611千元，與上
   年度同。
3.東部聯合服務業務經費5,375千元，與上
   年度同。
4.雲嘉南區聯合服務業務經費6,724千元，
   與上年度同。",
,,6,,"3303011800
國土及資通安全業務","8,593 ","8,593 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.國土安全規劃經費4,750千元，與上年度
   同。
2.資通安全業務經費3,843千元，與上年度
   同。",
,,7,,"3303011900
災害防救業務","8,117 ","8,117 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.災害防救行政工作維持費2,000千元，與
   上年度同。
2.全國災害防救業務推展經費6,117千元，
   與上年度同。",
,,8,,"3303012000
性別平等業務","15,474 ","15,474 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.性別平等綜合企劃業務經費2,312千元，
   與上年度同。
2.推展性別平等權益促進工作經費1,517千
   元，與上年度同。
3.推展性別平等權利保障工作經費3,573千
   元，與上年度同。
4.性別平等推廣及發展工作經費8,072千元
   ，與上年度同。",
,,9,,"3303012200
消保及食安業務","17,581 ","17,583 ",-2 ,"本年度預算數之內容與上年度之比較如下:
1.消費者保護綜合企劃業務經費4,867千元
   ，較上年度增列辦理消費者保護業務交流
   與研討經費等468千元。
2.消費者保護督導業務經費2,980千元，較
   上年度減列辦理中央機關消費者保護工作
   考核獎勵金等468千元。
3.消費者保護法制業務經費902千元，與上
   年度同。
4.消費者保護官業務經費3,332千元，與上
   年度同。
5.食品安全業務經費5,500千元，較上年度
   減列國內旅費2千元。",
,,10,,"3303012300
資訊管理","62,230 ","71,076 ","-8,846 ","本年度預算數之內容與上年度之比較如下：
1.資訊系統維運及更新經費42,230千元，較
   上年度增列資訊作業維護費及資訊軟硬體
   設備費1,300千元。
2.新增政務大數據創新應用計畫，總經費93
   ,500千元，分4年辦理，本年度編列第1年
   經費20,000千元。
3.上年度建置性別平等資料庫計畫預算業已
   編竣，所列30,146千元如數減列。",
,,11,,"3303012400
新聞傳播業務","56,924 ","56,924 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.新聞聯繫與發布經費2,975千元，與上年
   度同。
2.法令政策溝通經費29,696千元，與上年度
   同。
3.輿情蒐報與研析經費6,184千元，與上年
   度同。
4.辦理縣市政府新聞聯繫及輿情蒐報經費9,
   018千元，與上年度同。
5.國情資料編印及供應經費4,703千元，與
   上年度同。
6.新聞影音圖像資料之攝製經費4,348千元
   ，與上年度同。",
,,12,,"3303019000
一般建築及設備","10,361 ","18,245 ","-7,884 ",,
,,,1,"3303019002
營建工程","6,466 ","10,850 ","-4,384 ","本年度預算數之內容與上年度之比較如下：
1.汰換院區空調系統第二期工程經費6,466
   千元。
2.上年度辦理建置檔案庫房第二期工程等預
   算業已編竣，所列10,850千元如數減列。",
,,,2,"3303019011
交通及運輸設備",180 ,"3,680 ","-3,500 ","本年度預算數之內容與上年度之比較如下：
1.汰換行動電話經費180千元。
2.上年度汰換行動電話及汰換視導車1輛預
   算業已編竣，所列3,680千元如數減列。",
,,,3,"3303019019
其他設備","3,715 ","3,715 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.汰換影印機、冷氣機、掃描器、室內外攝
   影機及裝設停車場感應系統等經費3,715
   千元。
2.上年度汰換影印機、冷氣機、室內外攝影
   機及會議室麥克風系統等預算業已編竣，
   所列3,715千元如數減列。",
,,13,,"3303019800
第一預備金","3,800 ","3,800 ",0 ,仍照上年度預算數編列。,
,2,,,"0003100000
主計總處","1,382,190 ","1,347,286 ","34,904 ",,
,,,,"3303100000
行政支出","1,382,190 ","1,347,286 ","34,904 ",,
,,1,,"3303100100
一般行政","821,756 ","826,891 ","-5,135 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費787,779千元，較上年度減列
   撥補勞工退休準備金專戶差額經費12,612
   千元，增列員工薪俸晉級差額等經費4,86
   2千元，計淨減7,750千元。
2.基本行政工作維持費31,806千元，較上年
   度增列辦理建築物耐震能力評估及房屋建
   築養護等經費2,615千元。
3.政府內部控制規劃及督導經費2,171千元
   ，與上年度同。",
,,2,,"3303101000
中央總預算核編及執行","3,826 ","3,826 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.中央總預算之核編與執行經費3,137千元
   ，與上年度同。
2.地方政府主計業務之督導與查核經費689
   千元，與上年度同。",
,,3,,"3303101100
特種基金預算核編及執行","1,870 ","1,870 ",0 ,"本年度預算數1,870千元，係辦理特種基金
預算核編及執行經費，與上年度同。",
,,4,,"3303101200
會計及決算業務","2,211 ","2,211 ",0 ,"本年度預算數之內容與上年度之比較如下：
1.中央總決算之處理與核編經費1,564千元
   ，與上年度同。
2.特種基金會計事務處理及決算核編經費64
   7千元，與上年度同。",
,,5,,"3303101300
綜合統計業務","29,769 ","31,072 ","-1,303 ","本年度預算數之內容與上年度之比較如下：
1.辦理統計行政與統計標準經費622千元，
   較上年度減列租用AREMOS經濟統計資料庫
   系統110千元，增列舉辦統計學術研討會
   等經費172千元，計淨增62千元。
2.辦理綜合統計經費14,952千元，較上年度
   減列服務業營運與投資概況調查及委外辦
   理國民幸福指數相關調查等經費3,166千
   元，增列辦理營造工程物價指數權數結構
   及民間自建營繕工程調查等經費1,801千
   元，計淨減1,365千元。
3.辦理家庭收支統計經費13,191千元，與上
   年度同。
4.辦理綠色國民所得統計經費1,004千元，
   與上年度同。",
,,6,,"3303101400
國勢普查業務","334,403 ","300,049 ","34,354 ","本年度預算數之內容與上年度之比較如下：
1.辦理農林漁牧業普查經費970千元，較上
   年度減列成立普查臨時組織、人員訓練、
   宣導及實地訪查等相關作業經費201,497
   千元。
2.辦理工業及服務業普查經費257,000千元
   ，較上年度增列成立普查臨時組織、人員
   訓練、宣導及實地訪查等相關作業經費23
   2,213千元。
3.辦理人口及住宅普查經費4,632千元，較
   上年度增列試驗調查等經費3,638千元。
4.普查資訊供應管理及發展經費11,135千元
   ，與上年度同。
5.國富統計經費703千元，與上年度同。
6.人力資源及專案調查經費33,727千元，與
   上年度同。
7.受僱員工薪資調查及生產力統計經費11,4
   45千元，與上年度同。
8.各機關統計調查及調查網管理經費14,791
   千元，與上年度同。",
,,7,,"3303101500
主計訓練業務","15,644 ","15,644 ",0 ,"本年度預算數15,644千元，係辦理主計人員
訓練經費，與上年度同。",
,,8,,"3303101600
主計資訊業務","81,309 ","55,720 ","25,589 ","本年度預算數之內容與上年度之比較如下：
1.歲計會計資訊管理經費17,326千元，較上
   年度減列系統改版推動所需之軟體維護、
   諮詢服務、上線輔導及委託研究等經費85
   8千元。
2.統計及行政資訊管理經費10,447千元，較
   上年度減列資訊系統軟硬體維護等經費44
   8千元，增列委託辦理普查數據應用技術
   相關研究等經費597千元，計淨增149千元
   。
3.資訊系統維運管理經費27,236千元，較上
   年度減列電腦及伺服器等軟硬體維護費2
   千元。
4.新增跨機關整合共用行政資訊系統推動計
   畫總經費108,972千元，分4年辦理，本年
   度編列第1年經費26,300千元。",
,,9,,"3303109000
一般建築及設備","89,552 ","108,153 ","-18,601 ",,
,,,1,"3303109002
營建工程","1,909 ","7,256 ","-5,347 ","本年度預算數之內容與上年度之比較如下：
1.辦理廣博大樓等建築物辦公區域地板整修
   及隔間調整等經費1,909千元。
2.上年度主計人員訓練中心、中部辦公園區
   、行政院區餐廳大樓廁所及單房間職務宿
   舍等修繕工程預算業已編竣，所列7,256
   千元如數減列。",
,,,2,"3303109011
交通及運輸設備",0 ,820 ,-820 ,"上年度汰換7-8人座小客貨兩用車1輛預算業
已編竣，所列820千元如數減列。",
,,,3,"3303109019
其他設備","87,643 ","100,077 ","-12,434 ","本年度預算數之內容與上年度之比較如下：
1.辦理中央與地方公務機關、營業及非營業
   特種基金之歲計、會計、決算系統功能增
   修改版等經費15,500千元。
2.統計普查資訊業務相關系統開發與功能擴
   充及普查資料加值運用等經費24,756千元
   。
3.提升行政事務相關資訊系統功能等經費4,
   800千元。
4.強化主計資訊集中維運平台運算所需軟硬
   體資源及備援措施、更新網路架構、建置
   IPV6通訊環境、強化資訊安全防護軟硬體
   及精進主計服務網站暨行動化應用服務等
   經費33,800千元。
5.汰購個人電腦、筆記型電腦、印表機、投
   影機及伺服器等經費6,200千元。
6.購置資料庫管理系統、統計與普查處理軟
   體、防毒軟體及升級作業系統等經費2,48
   5千元。
7.汰購公用飲水供應機及數位單眼照相機等
   設備經費102千元。
8.上年度購置電腦軟硬體及三方視訊會議系
   統等設備預算業已編竣，所列100,077千
   元如數減列。",
,,10,,"3303109800
第一預備金","1,850 ","1,850 ",0 ,仍照上年度預算數編列。,
,3,,,"0003300000
人事行政總處","2,316,976 ","2,331,217 ","-14,241 ",,
,,,,"3303300000
行政支出","576,557 ","489,210 ","87,347 ",,
,,1,,"3303300100
一般行政","353,150 ","354,036 ",-886 ,"本年度預算數之內容與上年度之比較如下：
1.人員維持費322,196千元，較上年度核實
   減列人事費1,596千元。
2.基本行政工作維持費25,096千元，較上年
   度減列稿費及一般事務費等1,466千元，
   增列物品、設施及機械設備養護費等2,99
   5千元，計淨增1,529千元。
3.人事行政資訊工作經費5,528千元，較上
   年度減列資訊服務費及資訊軟硬體設備費
   等949千元。
4.人事資料登記管理經費330千元，較上年
   度增列一般事務費等130千元。",
