,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,,,01,"　　　32020120101
　　　行政管理","81,361","80,783",578,"本年度預算數之內容與上年度之比較如下：
1.人員維持費74,491千元與上年度同。
2.基本行政工作維持費6,870千元，較上年度增列資訊服務及軟硬體設備等經費578千元。
　"
,,02,,"　　32020121100
　　綜合性業務及人事人員
　　管理",847,867,-20,
,,,01,"　　　32020121101
　　　辦理綜合性業務及人
　　　事人員管理",847,867,-20,"本年度預算數847千元，較上年度減列研究發展等講習費用20千元。
　"
,,03,,"　　32020121200
　　組織及任免遷調考試",503,523,-20,
,,,01,"　　　32020121201
　　　辦理機關組織及任審
　　　考試分發",503,523,-20,"本年度預算數503千元，較上年度減列聘請法規講座鐘點費20千元。
　"
,,04,,"　　32020121300
　　考核獎懲及研習進修","1,306","1,436",-130,
,,,01,"　　　32020121301
　　　考核獎懲及研習進修","1,306","1,436",-130,"本年度預算數1,306千元，較上年度減列國外旅費等經費130千元。
　"
,,05,,"　　32020121400
　　待遇福利及退休撫卹","2,056","2,116",-60,
,,,01,"　　　32020121401
　　　待遇福利及退休撫卹","2,056","2,116",-60,"本年度預算數2,056千元，較上年度減列辦理未婚聯誼及員工社團推展等經費60千元。
　"
,,06,,"　　32020121500
　　住宅輔貸","71,074","71,289",-215,
,,,01,"　　　32020121501
　　　公教人員住宅輔貸","71,074","71,289",-215,"本年度預算數71,074千元，較上年度減列對原高雄縣公教住宅貸款差額補貼經費215千元。
　"
,,07,,"　　32020127900
　　第一預備金",95,95,-,
,,,01,"　　　32020127901
　　　第一預備金",95,95,-,"仍照上年度預算數編列。
　"
,004,,,"　00020130000
　高雄市政府研究發展考核
　委員會","111,676","110,789",887,
,,01,,"　　32020130100
　　一般行政","60,136","60,280",-144,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　32020130101
　　　行政管理","60,136","60,280",-144,"本年度預算數之內容與上年度之比較如下：
1.人員維持費57,003千元與上年度同。
2.基本行政工作維持費3,133千元，較上年度減列購置office專業版及退休人員三節慰問金144千元。
　"
,,02,,"　　32020131600
　　綜合計畫","3,983","4,078",-95,
,,,01,"　　　32020131601
　　　策定年度施政計畫","3,983","4,078",-95,"本年度預算數3,983千元，較上年度減列推動公民參與、辦理公民提案之相關經費95千元。
　"
,,03,,"　　32020131700
　　研究發展","6,628","6,702",-74,
,,,01,"　　　32020131701
　　　市政研究發展及革新","6,628","6,702",-74,"本年度預算數較上年度減列74千元，包括：
1.國外旅費380千元，較上年度增列20千元。
2.委託研究、創新提案、市政專題研究、營造英語生活環境、提昇便民服務、公民參與等外聘委員出席費或書面審查費295千元，較上年度減列94千元。
　"
,,04,,"　　32020131800
　　管制考核",540,540,-,
,,,01,"　　　32020131801
　　　列管計畫考核評估",540,540,-,"本年度預算數540千元，係辦理本府年度施政計畫選項、定期追蹤管考及年終考核等經費，與上年度同。
　"
,,05,,"　　32020131900
　　為民服務","39,055","37,855","1,200",
,,,01,"　　　32020131901
　　　聯合服務業務","39,055","37,855","1,200","本年度預算數39,055千元，較上年度增列1999大數據分析系統租賃費1,200千元。
　"
,,06,,"　　32020132000
　　工程品質評鑑與查核","1,239","1,239",-,
,,,01,"　　　32020132001
　　　工程品質查核","1,239","1,239",-,"本年度預算數1,239千元，係辦理工程品質查核經費，與上年度同。
　"
,,07,,"　　32020137900
　　第一預備金",95,95,-,
,,,01,"　　　32020137901
　　　第一預備金",95,95,-,"仍照上年度預算數編列。
　"
,005,,,"　00020140000
　高雄市政府政風處","54,670","54,817",-147,
,,01,,"　　32020140100
　　一般行政","52,844","52,985",-141,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　32020140101
　　　行政管理","52,844","52,985",-141,"本年度預算數之內容與上年度之
比較如下：
1.人員維持費51,001千元與上年度同。
2.基本行政工作維持費1,843千元，較上年度減列退休人員三節慰問金及資訊服務費等經費141千元。
　"
,,02,,"　　32020142100
　　組織管理機密維護",781,787,-6,
,,,01,"　　　32020142101
　　　組織管理機密維護",781,787,-6,"本年度預算數781千元，較上年度減列通訊等經費6千元。
　"
,,03,,"　　32020142200
　　政風調查",240,240,-,
,,,01,"　　　32020142201
　　　政風查處",240,240,-,"本年度預算數240千元，係辦理政風查處經費，與上年度同。
　"
,,04,,"　　32020142300
　　預防貪瀆",715,715,-,
,,,01,"　　　32020142301
　　　政風防弊",715,715,-,"本年度預算數715千元，係辦理財產申報受理審查及推廣行政透明等經費，與上年度同。
　"
,,05,,"　　32020147900
　　第一預備金",90,90,-,
,,,01,"　　　32020147901
　　　第一預備金",90,90,-,"仍照上年度預算數編列。
　"
,006,,,"　00020150000
　高雄市政府原住民事務委
　員會","767,646","599,490","168,156",
,,01,,"　　33020150100
　　一般行政","34,634","33,954",680,
,,,01,"　　　33020150101
　　　行政管理","34,634","33,954",680,"本年度預算數之內容與上年度之比較如下：
1.人員維持費29,780千元，較上年度核實減列人事費720千元。
2.基本行政工作維持費4,854千元，較上年度新增購置公務車及兼任委員兼職費等經費1,400千元。
　"
,,02,,"　　33020150200
　　原住民行政","732,972","565,496","167,476",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33020150201
　　　原住民文化教育","54,185","40,311","13,874","本年度預算數較上年度增列13,874千元，包括：
1.新增辦理本市族語推廣計畫及原住民族實驗小學計畫1,500千元。
2.新增辦理全國原住民運動會2,400千元。
3.辦理原住民幼兒學前教育補助計畫及原住民部落活力計畫等經費38,666千元，較上年度增列9,974千元。
　"
,,,02,"　　　33020150202
　　　原住民衛生福利","59,191","19,875","39,316","本年度預算數較上年度增列39,316千元，包括：
1.新增鳳山區五甲國宅租金960千元。
2.新增辦理高雄市原住民社會住宅環境改善及安置計畫4,000千元。
3.新增辦理桃源區復興里災後住宅重建計畫4,500千元。
4.辦理原住民族家庭暨婦女服務中心及原住民部落文化健康照顧計畫等經費39,972千元，較上年度增列補助及配合款29,856千元。
　"
,,,03,"　　　33020150203
　　　原住民經濟土地","505,487","366,443","139,044","本年度預算數較上年度增列139,044千元，包括：
1.新增辦理原住民樂舞展演468千元。
2.辦理補助原住民地區自治經費及考核獎勵金287,548千元，較上年度增列5,313千元。
3.辦理原住民保留地森林保育計畫-集水區保護林帶林木禁伐補償經費155,032千元，較上年度增列133,162千元。
4.辦理原住民族知識發展創意經濟等經費59,572千元，較上年度增列2,312千元。
5.上年度辦理原住民族產業深耕及行銷推廣計畫預算業已編竣，所列2,211千元如數減列。
　"
,,,04,"　　　33020150204
　　　原住民部落建設","114,109","138,867","-24,758","本年度預算數較上年度減列24,758千元，包括：
1.新增辦理那瑪夏區市區道路人本環境建設計畫及通學步道改善等經費5,570千元。
2.新增辦理茂林市道高132線道路改善工程5,437千元。
3.增列國內旅費40千元。
4.辦理部落特色道路及永續造景經費56,472千元，較上年度減列補助及配合款35,805千元。
　"
　,　,　,　,　,　,　,　,　
,,03,,"　　33020157900
　　第一預備金",40,40,-,
,,,01,"　　　33020157901
　　　第一預備金",40,40,-,"仍照上年度預算數編列。
　"
,007,,,"　00020160000
　高雄市政府客家事務委員
　會","61,484","134,743","-73,259",
,,01,,"　　33020160100
　　一般行政","27,392","27,018",374,
,,,01,"　　　33020160101
　　　行政管理","27,392","27,018",374,"本年度預算數之內容與上年度之比較如下：
1.人員維持費23,115千元與上年度同。
2.基本行政工作維持費4,277千元，較上年度增列新客家文化園區清潔維護等經費374千元。
　"
,,02,,"　　33020160300
　　客家行政","34,092","107,662","-73,570",
,,,01,"　　　33020160301
　　　客家事務管理","34,092","107,662","-73,570","本年度預算數較上年度減列73,570千元，包括：
1.客家文化事務合作交流7,138千元，較上年度減列北客六龜採樟史蹟聚落整體環境保存營造計畫等經費8,277千元。
2.客家文化語言推廣及社團輔導9,540千元，較上年度減列補助本市各級學校辦理各項客家藝文客語教學等各項費用經費1,860千元。
3.客家產業發展及藝文創作2,121千元，較上年度減列福安菸葉輔導站客家藝文、音樂及產業交流中心規劃設計暨工程案等經費30,435千元。
4.客家文化活動4,500千元，較上年度減列客庄12大節慶-高雄客家文化節等經費200千元。
5.美濃客家文物館經營管理10,793千元，較上年度減列美濃學園教育藝文館及客家文物館辦理室內展示軟體與營運規劃及典藏文物細部設計暨工程等經費32,798千元。
　"
,,03,,"　　33020167900
　　第一預備金",-,63,-63,
,,,01,"　　　33020167901
　　　第一預備金",-,63,-63,"本年度預算數較上年度減列如列數。
　"
,008,,,"　00020170000
　高雄市政府公務人力發展
　中心","52,124","52,501",-377,
,,01,,"　　51020170100
　　一般行政","33,750","33,878",-128,
　,　,　,　,　,　,　,　,　
,,,01,"　　　51020170101
　　　行政管理","33,750","33,878",-128,"本年度預算數之內容與上年度之比較如下：
1.人員維持費30,948千元，與上年度相同。
2.基本行政工作維持費2,802千元，較上年度新增公務車529千元，減列參加ATD年會、購置資訊軟硬體、三節慰問金等經費657千元。
　"
,,02,,"　　51020170200
　　教學行政支出","18,374","18,623",-249,
,,,01,"　　　51020170201
　　　教育訓練研習","18,374","18,623",-249,"本年度預算數18,374千元，較上年度減列249千元，包括：
1.講座鐘點、差旅費及製作數位學習課程等經費12,794千元，較上年度增列501千元。
2.教材印製費及資訊專題研究與論壇經費950千元，較上年度減列150千元。
3.上年度辦理公務人員溝通服務認證及個案教材撰寫預算業已編竣，所列600千元如數減列。
　"
,009,,,"　00020180000
　高雄市政府資訊中心","79,832","73,069","6,763",
,,01,,"　　32020180100
　　一般行政","41,593","41,646",-53,
,,,01,"　　　32020180101
　　　行政管理","41,593","41,646",-53,"本年度預算數之內容與上年度之比較如下：
1.人員維持費40,831千元與上年度同。
2.基本行政工作維持費762千元，較上年度減列公務車租車費及退休人員三節慰問金等53千元。
　"
,,02,,"　　32020182400
　　市政資訊發展","7,735","5,530","2,205",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　32020182401
　　　資訊整合規劃設計與
　　　推廣","7,735","5,530","2,205","本年度預算數較上年度增列2,205千元，包括：
1.新增市政資訊視覺化推廣與運用2,000千元。
2.新增行動化地理性資料整合系統600千元。
3.新增機關資訊共享平台系統功能提昇650千元。
4.新增資料加值黑客松950千元。
5.線上即時服務系統功能提昇經費800千元，較上年度減列140千元。
6.基本業務維持費1,835千元，較上年度減列市府會計預決算系統等經費35千元。 
7.上年度辦理市政資訊新增決策支援系統功能提昇，預算業已編竣，所列600千元如數減列。
8.上年度辦理E化服務網功能提昇暨系統移植及跨機關便民服務資訊平台系統功能提昇，預算業已編竣，所列1,220千元如數減列。
　"
,,03,,"　　32020182500
　　網路應用服務管理","14,684","11,984","2,700",
,,,01,"　　　32020182501
　　　市政網站及郵件服務
　　　管理","14,684","11,984","2,700","本年度預算數較上年度增列2,700千元，包括：
1.新增永續智慧社區創新實證示範計畫規劃設置6,118千元。
2.新增單一帳號認證平台建置1,300千元。
3.新增全府電子郵件資料庫同步儲存設備950千元。
4.新增強化機關網站共用模版與平台設備950千元。
5.基本業務維持費2,966千元，較上年度增列府網頁及郵件資安漏洞掃描檢核等經費382千元。
6.全府全球資訊網暨機關網站整合服務平台建置經費1,500千元，較上年度減列3,300千元。
7.全府電子郵件帳號管理系統建置經費900千元，較上年度減列2,800千元。
8.上年度辦理擴增寄存機關網站環境平台，預算業已編竣，所列900千元如數減列。
　"
,,04,,"　　32020182600
　　資訊基礎建設管理","15,820","13,909","1,911",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　32020182601
　　　機房網路及資安管理","15,820","13,909","1,911","本年度預算數較上年度增列1,911千元，包括：
1.新增市府資料備份系統1,850千元。
2.新增鳳山行政中心防火牆(含IPS)汰換更新1,410千元。
3.新增市府骨幹網路交換器模組及網管授權擴充900千元。
4.新增四維行政中心防火牆資安防護功能擴充270千元。
5.基本業務維持費10,290千元，較上年度增列市府iTaiwan無線服務等經費1,131千元。
6.擴充市府虛擬平台系統規模經費900千元，較上年度減列950千元。
7.上年度辦理Web應用程式防火牆，預算業已編竣，所列1,500千元如數減列。
8.上年度辦理進階持續性滲透攻擊(APT)防禦系統，預算業已編竣，所列1,200千元如數減列。
　"
,010,,,"　00023000000
　高雄市鹽埕區公所","63,772","65,941","-2,169",
,,01,,"　　33023000100
　　一般行政","49,857","49,476",381,
,,,01,"　　　33023000101
　　　行政管理","49,857","49,476",381,"本年度預算數之內容與上年度之比較如下：
1.人員維持費33,948千元與上年度同。
2.基本行政工作維持費1,204千元，較上年度增列汰換公務車等經費389千元。
3.里鄰長及里幹事相關經費14,705千元，較上年度減列8千元。
　"
,,02,,"　　33023000400
　　區公所業務","13,215","15,275","-2,060",
,,,01,"　　　33023000401
　　　業務管理","13,215","15,275","-2,060","本年度預算數較上年度減列2,060千元，包括:
1.區公所共同費用項目經費9,441千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費1,986千元。
2.辦理中央補助業務經費299千元與上年度同。
3.其他業務運作經費3,475千元，較上年度減列水電費等經費74千元。
　"
,,03,,"　　60023000200
　　基層建設",700,"1,190",-490,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　60023000201
　　　小型工程",700,"1,190",-490,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程600千元。
2.6公尺以下道路維護費100千元。
　"
,011,,,"　00023010000
　高雄市鼓山區公所","131,399","132,556","-1,157",
,,01,,"　　33023010100
　　一般行政","84,085","86,215","-2,130",
,,,01,"　　　33023010101
　　　行政管理","84,085","86,215","-2,130","本年度預算數之內容與上年度之比較如下：
1.人員維持費55,623千元與上年度同。
2.基本行政工作維持費803千元，較上年度減列汰換公務車及三節慰問金等經費781千元。
3.里鄰長及里幹事相關經費27,659千元，較上年度增列1千元。
4.上年度辦理行政大樓修繕工程，預算業已編竣，所列1,350千元如數減列。
　"
,,02,,"　　33023010400
　　區公所業務","40,257","42,041","-1,784",
,,,01,"　　　33023010401
　　　業務管理","40,257","42,041","-1,784","本年度預算數較上年度減列1,784千元，包括：
1.新增哈瑪星地區監視器纜線下地及遷移工程1,588千元。
2.區公所共同費用項目經費26,581千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,370千元。
3.辦理中央補助及回饋金業務經費8,449千元，較上年度減列700千元。
4.其他業務運作經費3,639千元，較上年度減列影印機租金及電腦維護等經費302千元。
　"
,,03,,"　　60023010200
　　基層建設","7,057","4,300","2,757",
,,,01,"　　　60023010201
　　　小型工程","7,057","4,300","2,757","本年度編列項目如下:
1.修建6公尺以下巷道工程及小型排水溝工程4,064千元。
2.6公尺以下道路維護費1,393千元。
3.鼓山區哨船街67號旁空地綠美化工程1,600千元。
　"
,012,,,"　00023020000
　高雄市左營區公所","135,878","140,593","-4,715",
,,01,,"　　33023020100
　　一般行政","90,354","91,193",-839,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023020101
　　　行政管理","90,354","91,193",-839,"本年度預算數之內容與上年度之比較如下：
1.人員維持費61,870千元與上年度同。
2.基本行政工作維持費1,010千元，較上年度減列汰換公務車及三節慰問金等經費635千元。
3.里鄰長及里幹事相關經費27,474千元，較上年度減列204千元。
　"
,,02,,"　　33023020400
　　區公所業務","41,996","46,630","-4,634",
,,,01,"　　　33023020401
　　　業務管理","41,996","46,630","-4,634","本年度預算數較上年度減列4,634千元，包括：
1.區公所共同費用項目經費26,496千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費3,966千元。
2.辦理中央補助與回饋金業務經費9,349千元，較上年度減列300千元。
3.其他業務運作經費6,151千元，較上年度減列保全費及office隨機版等經費368千元。
　"
,,03,,"　　60023020200
　　基層建設","3,528","2,770",758,
,,,01,"　　　60023020201
　　　小型工程","3,528","2,770",758,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程2,599千元。
2.6公尺以下道路維護費929千元。
　"
,013,,,"　00023030000
　高雄市楠梓區公所","137,345","141,559","-4,214",
,,01,,"　　33023030100
　　一般行政","87,286","88,279",-993,
,,,01,"　　　33023030101
　　　行政管理","87,286","88,279",-993,"本年度預算數之內容與上年度之比較如下:
1.人員維持費58,307千元與上年度同。
2.基本行政工作維持費1,145千元，較上年度減列汰換公務車及三節慰問金等經費756千元。
3.里鄰長及里幹事相關經費27,834元，較上年度減列237千元。
　"
,,02,,"　　33023030400
　　區公所業務","43,579","47,360","-3,781",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023030401
　　　業務管理","43,579","47,360","-3,781","本年度預算數較上年度減列3,781千元，包括：
1.區公所共同費用項目經費29,079千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,416千元。
2.辦理中央補助與回饋金業務經費10,349千元，較上年度減列1,200千元。
3.其他業務運作經費4,151千元，較上年度減列電費等經費165千元。
　"
,,03,,"　　60023030200
　　基層建設","6,480","5,920",560,
,,,01,"　　　60023030201
　　　小型工程","6,480","5,920",560,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程5,530千元。
2.6公尺以下道路維護費950千元。
　"
,014,,,"　00023040000
　高雄市三民區公所","248,723","255,496","-6,773",
,,01,,"　　33023040100
　　一般行政","159,463","160,557","-1,094",
,,,01,"　　　33023040101
　　　行政管理","159,463","160,557","-1,094","本年度預算數之內容與上年度之比較如下:
1.人員維持費95,346千元與上年度同。
2.基本行政工作維持費1,703千元，較上年度減列雜支費及三節慰問金等經費512千元。
3.里鄰長及里幹事相關經費62,414千元，較上年度減列582千元。
　"
,,02,,"　　33023040400
　　區公所業務","79,540","80,599","-1,059",
,,,01,"　　　33023040401
　　　業務管理","79,540","80,599","-1,059","本年度預算數較上年度減列1,059千元，包括：
1.區公所共同費用項目經費63,086千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費5,176千元。 
2.辦理中央補助與回饋金業務經費9,349千元，較上年度增列4,450千元。
3.其他業務運作經費7,105千元，較上年度減列水電費及幸福三太子文創商品行銷等經費333千元。
　"
,,03,,"　　60023040200
　　基層建設","9,720","14,340","-4,620",
,,,01,"　　　60023040201
　　　小型工程","9,720","14,340","-4,620","本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程8,264千元。
2.6公尺以下道路維護費1,456千元。
　"
,015,,,"　00023050000
　高雄市新興區公所","95,685","97,409","-1,724",
,,01,,"　　33023050100
　　一般行政","70,630","70,354",276,
,,,01,"　　　33023050101
　　　行政管理","70,630","70,354",276,"本年度預算數之內容與上年度之比較如下：
1.人員維持費46,175千元與上年度同。
2.基本行政工作維持費1,377千元，較上年度增列汰換公務車等經費276千元。
3.里鄰長及里幹事相關經費23,078千元與上年度同。
　"
,,02,,"　　33023050400
　　區公所業務","23,305","25,555","-2,250",
,,,01,"　　　33023050401
　　　業務管理","23,305","25,555","-2,250","本年度預算數較上年度減列2,250千元，包括：
1.區公所共同費用項目經費17,841千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,025千元。
2.辦理中央補助業務經費449千元與上年度同。
3.其他業務運作經費5,015千元，較上年度減列八德路與民族路口社教用地租金及表冊印刷等經費225千元。
　"
,,03,,"　　60023050200
　　基層建設","1,750","1,500",250,
